@56667  = ~我不干。~
@56701  = ~仆人自己可能也担心。他们是否习惯管理的担子？可能值得试试。但是在这里不会受欢迎。~
@56702  = ~他们是佣兵，但是他们很受称赞。安姆训练的。但是格莱克斯是我父亲的朋友。也许他死在城堡的某处。~
@56703  = ~警卫一向冷淡。有一点不友善，只有格莱克斯除外，但是他们的纪律很好。他们是安姆训练的。~
@56704  = ~如果没有他们，这些战役就会变成大屠杀。但是尸体呢……我以为至少会发现格莱克斯力战至死……~
@56705  = ~当我努力取得我所拥有的东西时，我不喜欢想到被罗诺尔家族控制的事情。我希望他们不要来染指我父亲的产业。~
@56706  = ~~
@56707  = ~我们要找出最佳的时机杀掉他。记得要小心。你不知道他是谁。~
@56708  = ~虽然你被蒙在鼓里，不过你还是干得不错！我们也不会计较你答应要帮他的事情。这个护身符对你并没有价值……只有在竖琴手别上它时，才能受到祝福。~
@56709  = ~有什么差别？你们不能和他们竞争吗？在我看来这似乎是个买方市场。~
@56710  = ~你们别想设计我去和什么神祇战斗。我可没有那么笨。~
@56711  = ~可怜的海姆难道无法和他们竞争吗？我觉得实在很有趣。~
@56712  = ~好吧，好吧，我会看看我能够帮上什么忙，但这件事可不是免费服务。~
@56713  = ~但是告诉凡人该怎么做却是神的工作。对，我知道你要说什么。好吧，你们需要我做什么？~
@56714  = ~好吧，好吧，只要能赶快结束就好。~
@56715  = ~<MALEFEMALE>，你好。你找奴隶监狱的主人有什么事吗？~
@56716  = ~我不知道……谁是奴隶监狱的主人？~
@56717  = ~这些奴隶是哪来的？~
@56718  = ~这些奴隶怎么卖啊？~
@56719  = ~这些奴隶怎么卖啊？~
@56720  = ~有奴隶？真是残暴！~
@56721  = ~就是我啊，笨蛋。我是唯一知道方法解放那些奴隶的人，那监狱可是有法术的。~
@56722  = ~术士学校的法师为我们建造了这些牢笼，用来预防某个家族拥有过多奴隶。我的顾客也可以看见它们。~
@56723  = ~<MALEFEMALE>，你是有事找我，还是只想享受牢中那些地表人的恶臭？我早该去喂狗喝水了，你在浪费我的时间。~
@56724  = ~这些奴隶是哪来的？~
@56725  = ~这些奴隶怎么卖啊？~
@56726  = ~这些奴隶怎么卖啊？~
@56727  = ~喂水……？你对待它们的方式真是残暴！~
@56728  = ~呃。大部分是人类。最近一群年轻人上去偷袭，抓到许多地表人。神后侍女已经挑走一些了。~
@56729  = ~我不大清楚他们会怎么样。人类会成为可怜的仆人，他们就跟洛斯兽一样没什么大脑。丢到低坑斗场里也没用处。~
@56730  = ~我想最后会有人买走他们，将他们捐给神殿，当成食物喂给蜘蛛吃，借以取悦罗丝女神。~
@56731  = ~我要跟负责人讲话，是谁？~
@56732  = ~这些奴隶是怎么买来的？~
@56733  = ~这些奴隶是怎么买来的？~
@56734  = ~将他们喂给蜘蛛吃？！真恐怖！！~
@56735  = ~只有尊贵的家族或者神后侍女可以买这些奴隶。所有次等的生物都要服侍蜘蛛女神。~
@56736  = ~为什么？你需要一些奴隶吗？据我所知，你跟任何尊贵的家族都没关系啊。如果有某个主母大人派你来，你再来找我吧。~
@56737  = ~不，我不要。~
@56738  = ~那么我不理你了。~
@56739  = ~我要走了。~
@56740  = ~那么，也许我应该跟这里的负责人说话。~
@56741  = ~蠢蛋，我是德斯班那家的人！我命令你卖这些奴隶给我！~
@56742  = ~这些奴隶到底是哪来的？~
@56743  = ~那么我该走了。~
@56744  = ~可以把他们卖到尊贵的家族或是蛛后侍女。您……您是阿德列斯主母眷顾的人吗？还是德斯班那家族？您是来买奴隶的吗？~
@56745  = ~是的，我是。他们要多少钱？~
@56746  = ~如果我把他们买下来，我可以把他们放掉吗？~
@56747  = ~买下他们对我也没用处。我不需要。~
@56748  = ~不，我不是。~
@56749  = ~呃？为何如此大惊小怪？这不过是次等生物罢了。就像是用来屠宰的洛斯兽。你为何有那样的想法呢？~
@56750  = ~这些……这些都是人类！甚至还有小孩！都被这些恶魔当作奴隶关起来！太叫人愤怒了！！~
@56751  = ~笨蛋，因为我不是黑暗精灵。我要砍下你的头！~
@56752  = ~你说得没错。~
@56753  = ~那么走开！我还有很多事情要忙。~
@56754  = ~<MALEFEMALE>，你别唬我了。我对所有家族可清楚的很，你根本没受任何主母眷顾……你也是最近才刚来到厄那萨。~
@56755  = ~我只服务那些家族侍者，或者主母特别吩咐我的人。<MALEFEMALE>，我不知道你是来做什么的，不过我不会跟你打交道。你走吧。~
@56756  = ~慢着，朋友。我听说过你的能耐，最近……也许你有兴趣跟我谈笔生意。~
@56757  = ~呃，这要看德斯班那家族买他们来干嘛。假如您需要他们到城外工作的话，就可能要武装他们，不过这就要再多花一笔小钱了。~
@56758  = ~但假如你只是要他们当奴仆，或者要献给蜘蛛神后的话，我就不用给他们装备了。~
@56759  = ~<MALEFEMALE>，既然他们是人类，我会给你一个好价钱。装备齐全只要两千个金币。嗯……现在他们只有一半的装甲。~
@56760  = ~你是谁？~
@56761  = ~我要买全部……而且要装备齐全。~
@56762  = ~你想要做什么？~
@56763  = ~我要买全部，但不需要那些装备。~
@56764  = ~我没有那么多钱！~
@56765  = ~我考虑看看再回来。~
@56766  = ~价钱不能再低一点吗？~
@56767  = ~把他们放掉？你为何要这么做？你真的无聊到想关心这些蛞蝓吗？为何竟然说这样的话？~
@56768  = ~别在意。忘了我说的话。他们要多少钱？~
@56769  = ~我要把他们放掉，然后看他们被幽暗地域吞噬掉，笨蛋！或者，我也可以猎杀他们，我还没决定要怎么作。~
@56770  = ~我这样说是因为我不是黑暗精灵，我只想要你的头！~
@56771  = ~不提也罢，我要走了。~
@56772  = ~那么就把他们带到城外运动吧，或者把他们送到神殿去祭献。黑暗之母的蜘蛛一直都很饿。~
@56773  = ~我明白了。他们要多少钱？~
@56774  = ~我可以将他们放掉吗？~
@56775  = ~不，我对他们没兴趣。~
@56776  = ~什么？！入侵者？！来人哪！守卫！！~
@56777  = ~呃，就照你说的吧。你真是个奇怪的黑暗精灵。契德·纳撒城一定被养得非常脆弱。也难怪你会离开那里。~
@56778  = ~好极了。你帮了我一个大忙，带走这些肮脏的人类。我现在必须去拿他们的装备，但我得先把他们放出来。~
@56779  = ~我不在时，你可能会想给他们一些指示。我会给他们武装起来，送到你指定的地方。<MALEFEMALE>，罗丝女神眷顾你。~
@56780  = ~好极了。你帮了我一个大忙，带走这些肮脏的人类。下一次突袭以前，我会比较悠闲了。~
@56781  = ~在我走之前，我会先把他们带出来给你。至于你要怎么处置他们就是你的事了。<MALEFEMALE>，罗丝会眷顾你的。~
@56782  = ~那么你就不能买他们。笨蛋，罗丝女神不会给穷人奖赏。走吧，等你的家族更富有时再回来。~
@56783  = ~这个价钱很低了，不过我想，这些只是人类而已。（唉）那么，全部武装算1500吧，不武装算500。~
@56784  = ~很好。那我要全部买下……装备要齐全。~
@56785  = ~很好。那我要全部买下，但你不用给他们装备。~
@56786  = ~我没那么多钱！~
@56787  = ~我会考虑看看再回来。~
@56788  = ~这是宝贵的商品，你这笨蛋！给我小心一点！~
@56789  = ~如你所愿。我猜，这几个贱东西什么地方也不能去。~
@56790  = ~不，我不卖你东西。据我所知，你可能是那个婊子艾丽丝崔伊的拥戴者。卖你东西的话，我会被神后侍女处罚。你走吧！~
@56791  = ~求求你，主人！我已经一个礼拜没吃东西了……~
@56792  = ~别说废话了！反正你们也没多大用处。~
@56793  = ~利索尔，这里发生什么事情？~
@56794  = ~好，我听到了。你的想法很明显。~
@56795  = ~记住，你在城中大部分的地方都不受欢迎。~
@56796  = ~是，我知道你是使者。~
@56797  = ~我知道你跟它一点关系都没有。~
@56798  = ~不，你不会因为你的同类所做的事而受罚。~
@56799  = ~你可以留在这里，直到你的事情完成为止。~
@56800  = ~够了。我们不会再听下去。~
@56801  = ~奴隶一直都不听话，我已经厌倦了。~
@56802  = ~随时监视他们。~
@56803  = ~当然。~
@56804  = ~这奴隶不是你的财产，他是我的。~
@56805  = ~喔，运动，我懂了。主母一定是很宠爱你才如此奖赏你。那么……是我误会了。~
@56806  = ~我很抱歉，女士。奴隶不听号令，已经被我处罚了。~
@56807  = ~喂，少管闲事。最好不要惹我生气。~
@56808  = ~给我听清楚了，笨蛋。你比训练有素的奴隶更容易替换掉！~
@56809  = ~如果你不去吵联络人的话会比较好。和灵吸怪打交道是很烦人的。~
@56810  = ~我已经警告过你，不要再来烦我了！~
@56811  = ~我不要再跟她说话。你只会伤害自己。~
@56812  = ~不要去打扰联络人。她有很多事要做。~
@56813  = ~我已经一再提出警告！哼，我不会再让你来烦我了！~
@56814  = ~但是－－女士，求求你！不要……~
@56815  = ~我还有其他的儿子。~
@56816  = ~白痴！我现在要上哪去找奴隶？~
@56817  = ~黑暗精灵折磨者~
@56818  = ~黑暗精灵折磨者~
@56819  = ~你听得懂我们的语言吗？不要烦我们，龌龊的黑暗精灵！总有一天你们要为你们的邪恶付出代价！~
@56820  = ~那么，你……你就是我们的新……拥有者。我明白了。你要我们干什么，黑暗精灵？~
@56821  = ~神啊帮助我！滚开！~
@56822  = ~我打算放你们自由。~
@56823  = ~我不管你们要做什么。要走，还是要留下来被宰掉，跟我都没有关系。~
@56824  = ~到罗丝的神殿去告诉他们，说维尔德林为他们献上祭品。他们可以抓你们去喂蜘蛛，还是……随便他们。~
@56825  = ~喂，那边的！你有没有看到一个地面的婊子？她的脚程倒是不慢。~
@56826  = ~你为什么追她？~
@56827  = ~我释放你们是为了练习射击，笨蛋。开始跑吧！~
@56828  = ~（说谎）－她往那边走了。~
@56829  = ~（说实话）－她往那边走了。~
@56830  = ~自－自由？什－什么……你是什么意思，自由？你为什么要这样做？我们要怎样才能在这种地方获得自由。~
@56831  = ~你为什么要追她？~
@56832  = ~我没看到什么人。~
@56833  = ~太好了。她很快就知道什么是痛苦了！~
@56834  = ~太好了。她很快就知道什么是痛苦了！~
@56835  = ~她在一次搜捕行动中遭到逮捕。我喜欢这种死亡前的追逐。她可能还以为自己有机会逃掉。哈！~
@56836  = ~（说谎）好吧，她往那边走了。~
@56837  = ~（说实话）好吧，她往那边走了。~
@56838  = ~我没看到她，很抱歉。~
@56839  = ~我无法再多解释，但很快你们就会获得装备。到大门去，告诉他们你们在为我工作……然后逃到地面去。你们办得到吗？~
@56840  = ~宝石袋~
@56841  = ~我不能告诉你为什么。赶紧到大门去，告诉守卫你们在为我工作。然后出城后就尽可能离开这里。~
@56842  = ~什么？？她刚刚才从这里跑过去。你瞎了吗？~
@56843  = ~对不起，我谁也没看到。~
@56844  = ~嘴巴放干净点，男性！~
@56845  = ~嗯。她到过这里。我不知道你在玩什么把戏，不过我不想再和你啰嗦了。我们走吧！~
@56846  = ~我没有耐性了！快点走！你们自由了……接下来要怎么做都随便你们！~
@56847  = ~我没有耐性了！快点走！你们自由了……接下来要怎么做都随便你们！~
@56848  = ~是的，那当然。我很抱歉，女士。现在，如果您能原谅我的话，我还得去剥一个地面精灵的皮。~
@56849  = ~走？你是说……你愿意就这样放我们离开？~
@56850  = ~你们会获得武器跟装备。在此之后，你们就得自求多福。好了，快滚吧。~
@56851  = ~卷轴盒~
@56852  = ~你们会获得武器跟装备。走到大门去，告诉守卫你们是在帮我工作……也许他们就会放行。但出城后你们就得自求多福。~
@56853  = ~卷轴盒~
@56854  = ~是的，你们可以走了。随便要去哪里，或者留在这里。但是我不能再帮你们了。~
@56855  = ~对，走到大门去告诉守卫，说你们在帮我执行一件工作……也许他们就会放行。但是接下来我就没办法帮你们了。~
@56856  = ~卷轴盒~
@56857  = ~这个坚固的容器可以存放数十个卷轴，不怕失火、下雨或闪电的破坏－－这是一般冒险的法师经常遇到的危险。

数据资料：

重量：2~
@56858  = ~不！求求你不要！如果……如果你还有任何的同情心，请你不要送我们去那里！~
@56859  = ~储藏宝袋~
@56860  = ~我求求你！我看过黑暗精灵祭司带走其他人……我们听见了尖叫声！我们……我们愿意帮你做任何事，只要不把我们送过去那里！~
@56861  = ~储藏宝袋~
@56862  = ~储藏宝袋~
@56863  = ~就和其它的魔法袋子一样，这一个似乎是个普通的2x4呎的布袋。袋子打开后变成一个无尽空间，而它的里面比外面的尺吋还大。无论放什么东西到这个袋子里，袋子的重量永远相同。

数据资料：

重量：5~
@56864  = ~我高兴怎样就怎样，而且我就是要你们去神殿……现在就去。~
@56865  = ~也许让你们死得爽快点会比较好……那就开始跑吧。~
@56866  = ~好了，好了。你们可以自由离开了。自己找到出路，我无法再帮你们了。~
@56867  = ~好了，好了。你们可以自由离开了。自己找到出路，我无法再帮你们了。~
@56868  = ~好了，好了，有办法就自己找路穿过幽暗地域。告诉门口的守卫是我们派你们出去的……接下来之后，你们就得自求多福了。~
@56869  = ~好了，好了，有办法就自己找路穿过幽暗地域。告诉门口的守卫是我们派你们出去的……接下来之后，你们就得自求多福了。~
@56870  = ~不！黑暗精灵，我诅咒你恶毒的心肠！快跑，朋友们！快跑啊！！~
@56871  = ~我……我可以试着带我朋友们回到地面。有了武器和装备，这……这也许还有可能。谢－谢你……不论你是谁……~
@56872  = ~没有武器和装备……我们的希望还是很渺茫。但是……总比留在这里好。我们会……努力试看看。谢谢你。~
@56873  = ~被谁适当地运用着，啊？俺知道一定不是我们。咱们什么时候才可以见到<CHARNAME>的愚蠢投资有回收啊？~
@56874  = ~即使有武器和装备……我们希望依旧很渺茫。我们会试着找到出路……也许……如果你真的不会猎杀我们。那就这样吧。~
@56875  = ~你愿意……在这城市里放我们自由，没有武装，什么也没有？我们很快就会被杀死，但是……但是，算了，总比其他的下场好。就这样吧。~
@56876  = ~你的名声如此响亮，不应该让我们等着看到结果。即使是现在，我也质疑你的动机。~
@56877  = ~在哪里？它到底被好好用到哪里去了？我们不是可以玩弄的对象，林维尔。我希望见到这些成果，而且我希望能够很快就见到它们。~
@56878  = ~就……就听你的吩咐，黑暗精灵。愿诸神们为这件恶行永远诅咒你。~
@56879  = ~矮人~
@56880  = ~矮人~
@56881  = ~尽管你的话语仁慈，小布却不这么想。你好像有什么不善的阴谋隐情。你若不证明我误会你，就要接受现实的处置！~
@56882  = ~哦，我相信确实如此。但为了谁的好处呢？我们对你所知不多，在你能证明你的善意之前，我们还要等多久？~
@56883  = ~终于有一些实质的东西了，不过它们最好值得那个代价。如果<CHARNAME>没有付钱给你，也许我可以买到更好的东西。~
@56884  = ~伊尔玛特，我向您祈祷……让您忠诚的仆人获得慈悲……帮助她与她身边的可怜灵魂。我祈求您……~
@56885  = ~有一天你们会受到报应的，黑暗精灵。你们的邪恶女神将无法抵挡善神们的愤怒，我发誓！~
@56886  = ~如果你将我们为了救爱蒙所需要的钱花掉的话，你就是自寻死路！明斯克和小布会好好对付你的！~
@56887  = ~伊尔玛特，解放您谦卑的仆人……解放我们脱离这个黑暗、冷淡的地方……~
@56888  = ~有没有人能把这个恶心的毛球弄出我的视线。（还有他的大老鼠。）~
@56889  = ~那……那是一位黑色精灵！（啜泣）请－请不要伤害我！~
@56890  = ~我妈妈在哪里？我可以见妈咪？我好想她……~
@56891  = ~艾德温，黄金并不重要。我们得帮助<CHARNAME>找到爱蒙和那个叫艾瑞尼卡斯的家伙。~
@56892  = ~我看见农场被烧掉，可是我现在找不到妈咪。你知道我妈咪在哪里吗？~
@56893  = ~在你的世界里，天空是什么颜色，小女孩？（老天！连这种普通常识都不懂。）~
@56894  = ~我从来没有见过黑皮肤的精灵，你确实长得很独特。<SIRMAAM>，你为什么带我们来这里？~
@56895  = ~小饰物？你想用一些在本地市场里就能找到的不值钱东西来满足我们？我们还有更重要的事要操心！~
@56896  = ~离我远一点！离我远一点，你们这些可怕的怪物！！~
@56897  = ~你杀了我丈夫！诅咒你们全都下无底深渊！！~
@56898  = ~天啊……这些都是我的族人，为什么把我们关在这里。我要求你放了我们！~
@56899  = ~喔，多么慷慨啊。你以为这样就可以弥补我们，弥补我们为所你耽搁的要紧事吗？我们不仅有朋友要救，也还有仇要报！~
@56900  = ~我们又没对你做什么！~
@56901  = ~（叹气）就算……就算我们没有被喂给蜘蛛吃，我们也会被献祭牺牲掉。我……我可怜的族人……~
@56902  = ~我……我所有的家人……为什么？（哭泣）为什么！~
@56903  = ~你们……（啜泣）……你们怎么能这么地……这么地邪恶……？~
@56904  = ~我只是个半身人……（啜泣）……哦，求求你，悠达拉，救救我！（哭泣）~
@56905  = ~我不认为这是做那件事的时候，毕竟我们现在是做好事。~
@56906  = ~还有复仇！~
@56907  = ~更多的工作？难道不能先缓缓吗？<CHARNAME>还要赶紧找到一位朋友和敌人。~
@56908  = ~这简直是在浪费我们的时间！这个笨蛋只想要抢用我们的时间，以及已经给我们的那些钱财。~
@56909  = ~在我可以聊到帽子上的鸟屎之前，尽快找出这爱蒙与艾瑞尼卡斯。那就像我舅舅古摩常说的，“哇拉哇拉哇拉”，他这样滔滔不绝地说，而我们就对舅舅古摩说我们还有事要做，然后他就会跟在我们后面说“只要再说一个故事就好。只要一个，哇拉哇拉哇拉。”~
@56910  = ~副手零级命中值~
@56911  = ~主手零级命中值~
@56912  = ~呃，我的重点是我们应该停止聊天，想办法赶快找到爱蒙。~
@56913  = ~达耶特佣兵守卫~
@56914  = ~黑暗精灵队长~
@56915  = ~达耶特佣兵守卫~
@56916  = ~黑暗精灵队长~
@56917  = ~魔法船的黑暗精灵~
@56918  = ~魔法船的黑暗精灵~
@56919  = ~醒来，孩子。该进行下一场的……测试。~ [DPJON152]
@56920  = ~求求你……我受不了了……~ [IMOEN89]
@56921  = ~耐心，爱蒙。这一切很快就会结束。~ [DPJON153]
@56922  = ~不……别这么做……我还不想死。~ [SHATHF01]
@56923  = ~闭嘴，贱人！你们唯一的目的就是死在我的手里。~ [DPJON154]
@56924  = ~你已差不多可以给她了，爱蒙。她会很高兴。~ [DPJON155]
@56925  = ~我叫维沙奇，也算这城里的著名商人……但你应该没有听过我，因为你是新到不久的人。没有关系。~
@56926  = ~行德拉·杰拉特~
@56927  = ~行德拉·杰拉特~
@56928  = ~撇开别的不讲，我发现你的魔法装备相当精良，所以我想你可能有兴趣买下我手边的一样东西。~
@56929  = ~看到这条金绳索了吗？这是一件魔力强大的物品，准备要卖给你……当然，如果你有兴趣的话。~
@56930  = ~那得看情况而定。这条绳索有什么作用？~
@56931  = ~不，我没有兴趣向你购买任何东西。~
@56932  = ~好的，但是这条绳子的功用，跟要怎么利用它的功用却是两件事情。为了让你更清楚，我应该要先稍稍解释一下。~
@56933  = ~继续讲下去。~
@56934  = ~丽络亚·杰拉特~
@56935  = ~你确定吗？这个绳索的价值不只是它自身的功用而已，而且我打算卖给你的价格也非常合理。至少你得再详加考虑考虑！~
@56936  = ~丽络亚·杰拉特~
@56937  = ~既然这条绳索这么有价值，告诉我它有什么作用。~
@56938  = ~不，我刚说过了，我没有兴趣。~
@56939  = ~啊，真是可惜。看来我得努力再找其他的买主了。但如果你改变了主意，请务必要回来找我。我向你保证，这东西绝对值得你购买。~
@56940  = ~首先，为了增加它价值的可信度，你一定得先知道这个绳索原本属于声名狼藉的贾拉索，然后才被我给偷了出来。你应该知道我说的是谁吧？~
@56941  = ~没错，而且他总是有许多的魔法物品，这条绳索以前就是他的。真是可惜，在他待在乌斯特·拿萨的时候，这条绳索正好离开了他的身边。~
@56942  = ~关纳德牧师~
@56943  = ~关纳德牧师~
@56944  = ~可惜？为什么这样讲？~
@56945  = ~我听说过这个黑暗精灵，一个声名狼藉的佣兵，达耶特独立佣兵团的首领……闻名全幽暗地域的强大流氓。~
@56946  = ~关纳德牧师~
@56947  = ~贾拉索？不，我应该没有听过他。~
@56948  = ~关纳德牧师领袖~
@56949  = ~关纳德牧师领袖~
@56950  = ~蛛后侍女监督者~
@56951  = ~蛛后侍女监督者~
@56952  = ~黑暗精灵~
@56953  = ~诶，俺有听过那个黑鬼子，听说是个臭屁的佣兵，很有名气而且有很多魔法。俺认为还是挨不过俺的斧头，不过他听起来蛮吓人的。~
@56954  = ~不知道？这可真是奇怪。我还以为所有的黑暗精灵都知道佣兵贾拉索的名号。无所谓，你只要知道他有许多强大的魔法物品。~
@56955  = ~或者应该说他“曾经”拥有才对。这条金绳索以前就是他的，而且我听说在他还待在乌斯特·拿萨的时候弄丢了这条绳索。是很让人伤心啦，不过，这可怪不了我。~
@56956  = ~伤心？有什么好伤心的？~
@56957  = ~根据传闻，贾拉索在杰拉特家族和抗吉里西家族的对抗中为前者干了件活，搞得血腥万分，其程度足以取悦罗丝。~
@56958  = ~在后续的牺牲献祭当中，结果杰拉特家族的主母却拒绝给付贾拉索应得的报酬，辩说为蜘蛛神后服务的荣耀就是最好的报酬。~
@56959  = ~伊斯塔·杰拉特~
@56960  = ~根据流传的故事指出，贾拉索只是鞠个躬人就走开了，在场所有的家族成员都在嘲笑他，并且把这故事四处散步嘲笑他的愚蠢。~
@56961  = ~~
@56962  = ~伊斯塔·杰拉特~
@56963  = ~那和这条绳索又有什么干系？~
@56964  = ~贾拉索策划了一场复仇计划……他计划要取得能让他进入杰拉特家族入口的结界护石，好让他可以回报他们的嘲笑。~
@56965  = ~可是结界护石却是保管在乌斯特·拿萨的一位古老创建者手中，迪瑞克斯，他是住在法师之塔里的可怕巫妖。这条绳索的功用就是可以保护贾拉索免受迪瑞克斯魔法的影响。~
@56966  = ~但是我，哈哈，用条假的绳索把真的绳索给掉包过来了。贾拉索的手下被巫妖禁锢住，而他本人则因为计划失败而被嘲笑哄出城。~
@56967  = ~但是我手上这却是真正的绳索……有了它，你就可以免疫于迪瑞克斯的魔法，随意掠夺魔法师之塔里面的宝藏！想想看这种机会！~
@56968  = ~我怎么知道你不是拿什么假货来骗我？~
@56969  = ~那么贾拉索是否会来寻找这个东西？~
@56970  = ~真有趣。你要开价多少钱？~
@56971  = ~不，我对你这条绳索没有兴趣。~
@56972  = ~我向你保证它绝对是真的。它的魔力显而易见；你看它发光的样子！而且坦白跟你讲，如果那个佣兵头子打算要取回它，那么我宁可不要它。~
@56973  = ~所以你认为贾拉索有可能会来找寻它？~
@56974  = ~真有趣。你要开价多少钱？~
@56975  = ~不，我对你这条绳索没有兴趣。~
@56976  = ~这种事谁也不能确定。就算他真的来了，你看来似乎比我更有本事对付他。快速利用它把事情办好，然后把它给丢掉，说不定他根本连知道的机会都没有。~
@56977  = ~杰拉特家守卫~
@56978  = ~杰拉特家守卫~
@56979  = ~我怎么知道你不会要拿出什么假货来骗我？~
@56980  = ~真有趣。你要开价多少钱？~
@56981  = ~不，我对你这条绳索没有兴趣。~
@56982  = ~迪瑞克斯~
@56983  = ~迪瑞克斯~
@56984  = ~一点也不多。只要一千枚金币它就是你的了，<LADYLORD>。~
@56985  = ~这价格很公道。拿去吧。~
@56986  = ~恐怕我并没有那么多钱。~
@56987  = ~你不能开价再低一点吗？~
@56988  = ~逃犯在那里。谢谢你没让她逃走！~
@56989  = ~~
@56990  = ~你不能开价再低一点吗？~
@56991  = ~不，我没有兴趣。~
@56992  = ~太棒了，真是让我松了一口气。你应该可以安全进入法师之塔，但如果有办法避开迪瑞克斯，我可不会主动攻击它。祝你好运，朋友。~
@56993  = ~贾拉索~
@56994  = ~贾拉索~
@56995  = ~没有钱？嗯……我还以为德斯班那家会赏给你更好的报酬。那就750枚金币？你付得起这个价钱吧？~
@56996  = ~是的，我可以。钱拿去吧。~
@56997  = ~不，我也没有这么多钱。~
@56998  = ~不……而且我也没什么兴趣。~
@56999  = ~好吧，朋友，那就500枚金币……但真的不能再低了。这个价格实在是太贱了些。~
@57000  = ~很好，那就750枚金币，朋友……但是不能再低了。~
@57001  = ~好吧，我就买下来。钱拿去。~
@57002  = ~恐怕我还是没有那么多钱。~
@57003  = ~不要，我对它再也不感兴趣了。~
@57004  = ~好吧，我就买下它。~
@57005  = ~恐怕我并没有那么多钱。~
@57006  = ~不要，我对它再也不感兴趣了。~
@57007  = ~啊，那真是可耻。那我只好去找别的买主。如果你赚到了足够的钱，请你一定要回来告诉我。如果这条绳索还在我手上，我会很乐意把它卖给你。~
@57008  = ~你又回来了，我的朋友。我依旧拥有这条金绳索，不知道你是否还有兴趣买下它。也许你已改变主意了？~
@57009  = ~先告诉我这条绳索有什么作用。~
@57010  = ~地表上的事情进展得很好。他们的假神的神殿已经被污染了。~ [ARDULA11]
@57011  = ~再说一次，你要开价多少钱？~
@57012  = ~我很高兴。我复仇的时候就要来了。~ [IRENIC85]
@57013  = ~我怎么知道你不会卖假货给我？~
@57014  = ~我们不是为了你的利益而做，艾瑞尼卡斯，虽然你确实提供了一些有趣的机会。~ [ARDULA12]
@57015  = ~我想知道贾拉索是否会回来抢走这条绳索。~
@57016  = ~我已经决定了，如果你不把绳索立刻交给我，我马上就要有苦头吃。明白了吗？~
@57017  = ~是的，主母，请愿谅我无心的言语。~ [IRENIC86]
@57018  = ~不，我还是没有兴趣。~
@57019  = ~我们的第一名囚犯来了，主母。~ [PHAERE11]
@57020  = ~这两个人在地表人渣里是高级人物，主母。要怎么处置他们？~ [DRESC101]
@57021  = ~他们的存在令我作呕。杀死他们。~ [ARDULA13]
@57022  = ~什－什么？你……你才不敢！~
