@37540  = ~I would like you to join us again, Haer'Dalis.《我希望你再加入我們，海爾達利。》~
@37583  = ~No! The item will be returned! You will give it or suffer my wrath!《不！這件聖物必須物歸原主！要是不把東西交給我，你就得品嚐我的怒火！》~
@37584  = ~I am not unprotected! If you wish a fight, you will have one! To my side!《我可不是孤身一人！如果你想動手，那就動手吧！弟兄們，出現吧！》~
@37585  = ~In a word, no. You are not who I was to meet, and now you know my crime. You will not leave here. Our business is finished. Permanently!《簡單一個字：不。你不是我預定會見的對象，而且你也知道了我的罪行。我不能讓你離開這裡。我們的生意已經結束了，永遠結束！》~
@37586  = ~HA! I wonder why that happened. Divine wrath is usually subtle: a little bad luck here, a curse or two there. But Talos, he's a god that means business.《哈！我很好奇為什麼會這樣。天神的憤怒總是難以察覺：這邊一點壞運氣，那邊來個詛咒什麼的。但是塔洛斯可不一樣，他說怎樣就是怎樣。》~
@37587  = ~I am afraid I must add injury to insult. You are obviously not who you claim to be, and I cannot let you leave and return strengthened. You will not leave here. You cannot.《恐怕我得在你的傷口上再撒上一把鹽巴。很顯然地，你並不是你所宣稱的那個代表，我不能就這樣讓你離開。你不能離開，不能。》~
@37588  = ~Thank you for helping me.《謝謝你幫了我。》~
@37589  = ~I'll believe it when I see it. The baron has his gold, so his word carries all the weight. Good on you if you do help us, but I'm not holding my breath.《等我看見了結果，我自然就會相信。男爵口袋裡有錢，所以他的話自然有人要聽。我很高興聽到有人願意幫助我們，但我還沒呆到就這麼樣相信你。》~
@37590  = ~So we will get no satisfaction out of you, I see. I thought as much, really. We cannot match the baron's gold, so we are second class to him and whatever he wishes. Go on, do what you must.《所以你還是無法給我們一個滿意的結果。我知道了，我想也是如此，真的。我們的財產無法和男爵的黃金相比，跟他比起來我們只是次等人，他想怎麼樣就可以怎麼樣。去吧，隨便你怎麼做吧。》~
@37591  = ~Who are you? Who dares interrupt our meeting? This is a private discussion for the lord of this land and his advisers.《你是誰？是誰膽敢打斷我們開會，這是私人會議，這塊土地的領主正在和人討論事情。》~
@37592  = ~I am only Lanka's assistant. If you wish something, best you speak to her or the baron directly. 《我只是蘭卡的助理，你要是有什麼事情，最好直接找她或是男爵談。》~
@37593  = ~I ain't here to talk. Keeping my blade at the ready in case you tries somethin'.《我不是來聊天的。我得隨時把武器準備好，以免你想幹什麼蠢事。》~
@37594  = ~Calm yourself, Lanka. They are the dedicated knights of the Radiant Heart, and they... er... you look a bit less "ornamented" than I had pictured.《冷靜一點，蘭卡。他們是至熱之心派來的騎士，而且他們……呃……你看起似乎沒有我想像的那麼「高貴」。》~
@37595  = ~The Order has sent me in response to your call. I am to assist in this matter.《騎士團派遣我回應你的要求，我是來協助處理這件事情的。》~
@37596  = ~Despite your notions of how I should look, I am from the Order.《儘管你對我的外觀打扮有所質疑，但我確實是騎士團派來的。》~
@37597  = ~Good, good, good, I thank you for coming. Now I can have my lands cleared with authority, since OTHERS in my employ are not capable of the task.《好、好，好，謝謝你前來協助。現在我終於可以拿回我的土地，因為我僱用的「其他人」都沒有這個本事。》~
@37598  = ~I done said it weren't our fault—it's them attacks by the farmers what slowed...《我沒說這不是我們的錯，是那些農民的攻擊害我們慢了……》~
@37599  = ~Try not to speak unless spoken to, young man. You are now expendable. Now that the Order is involved, I am sure these pesky squatters will leave quickly.《年輕人，沒人問你話，最好不要隨便開口。你現在已經無關緊要了。既然現在騎士團的人已經介入了這件事，我相信這些討人厭的遊民一定很快就會離開。》~
@37600  = ~As you would have it, Baron Metrich. Tell me what has been your trouble.《沒有問題，麥崔克男爵。告訴我你的困難是什麼。》~
@37601  = ~I will do what is right once I have heard the circumstances.《等我聽過所有的狀況後，我自然會做出正確的決定。》~
@37602  = ~You will not dictate to me. I will determine the proper action.《你不能命令我什麼，我自會決定何種行動才是恰當的。》~
@37603  = ~Yes, it is a simple matter now that you are here. I require some squatters removed from my lands. They will respect the word of the Order and go. 《是的，既然你來了，這件事就簡單多了。我希望把一些遊民從我的領土上趕出去。他們一定會聽騎士團的話，乖乖離開。》~
@37604  = ~My own people have received nothing but scorn, and recently they have even been attacked. It has been a difficult time, and I would like this matter closed.《我自己的手下只受到嘲弄而已，一點效果也沒有；而且最近甚至還受到攻擊。這段日子相當不好過，我希望這件事能夠趕緊告一段落。》~
@37605  = ~Then these people have simply shown up and taken portions of your land?《那麼這些人只是無端出現，然後霸佔了你的土地？》~
@37606  = ~The Order was insistent that I support you, and that is what I intend to do, whatever the details.《上級希望我能全力支持你，不論事情的細節怎麼樣，所以我也決定要支持你。》~
@37607  = ~I have a small problem. One of the farmers claimed the land was theirs, not yours. 《我有個小問題，其中一位農夫宣稱這土地是他們的，不是你的。》~
@37608  = ~More than one source told me that you are trying to take land that is rightfully theirs.《可是有不只一個來源都說，你正試圖強佔他們的土地。》~
@37609  = ~Why quibble about who came first? I am here now, and I carry some weight in business circles within Athkatla. The Order is always looking for patrons, are they not?《爭誰先誰後有什麼意義？既然我到了這邊，而且我在阿斯卡特拉的商業圈也有相當的影響力，怎麼，騎士團不是一直都在尋求有力的贊助人嗎？》~
@37610  = ~You would not wish to disappoint a potential friend of the Order, would you? These louts have assaulted my men. Deal with them in the proper fashion.《你不希望讓騎士團的潛在朋友感到失望吧？這些混帳攻擊我的手下，我們應當用適當的手段來解決他們。》~
@37611  = ~I should really speak with someone from their side to get a balanced idea of the situation.《我應該也要跟他們那邊的人談談，才能衡量清楚整個事件的內情。》~
@37612  = ~Then I will do what you will, and no questions asked. I will move these squatters.《我沒有其他的問題，那就照你的意思辦。我會把那些遊民趕出去。》~
@37613  = ~Then speak with Lanka. She was a member of the "community" they built and has served as my voice to them. Once I made my position clear, she was very cooperative.《那就跟蘭卡談談吧。她是他們所設立的「社區」成員之一，同時也是我和他們溝通的中間人。一旦我把話說清楚後，她都會很合作。》~
@37614  = ~Ahh, but you have proven reasonable yourself in responding to my concerns. I am content to aid you in this. 《啊，但是你還蠻講理的，我願意幫助你處理這件事。》~
@37615  = ~I can verify much of what the baron says, and I would concur in his recommendation that the settlement be ousted off his lands, such that they might be returned to their natural splendor.《我可以證明男爵所說的許多事情，同時我也贊同他的建議，就是把這些定居的遊民通通趕出他的土地。這麼一來，這片土地才會恢復以前的漂亮風光。》~
@37616  = ~So you agree with him? Then I see no need for further inquiries. I will oust these squatters.《所以你同意他的看法？好吧，那我就不需要再多問了，我會把這些遊民都趕走。》~
@37617  = ~Perhaps it would be better if I spoke with someone a little less biased.《也許我應該再跟幾位比較沒有偏見的人談一談。》~
@37618  = ~I assure you, I have the best interests of the land at heart. I am thinking of the larger picture.《我向你保證，我完全是為了這塊土地在著想，我想的是更大的遠景。》~
@37619  = ~You have spoken with everyone that you need to. I would have you state your intent with no more delays! 《你已經跟該說的人都說過話了，不要再耽擱了，我要你現在就把話說清楚！》~
@37620  = ~I will oust these squatters from your land. It's the best choice for all concerned.《我會把這些遊民從你的領土上趕出去，這對所有人來講都是最佳的選擇。》~
@37621  = ~Greater Mummy《遠古木乃伊》~
@37622  = ~I will not aid you. Despite their attacks, these people may have a legitimate claim here.《我不會幫你的。儘管他們曾經動過手，他們卻擁有居留在此的合法權力。》~
@37623  = ~Then I shall tell the Order you failed me. My men have been attacked, and you do nothing! I asked you to come here and act.《那我要向騎士團報告說你背叛了我。我的手下遭受攻擊，而你竟然袖手旁觀！我叫你過來是要你幫我採取行動的！》~
@37624  = ~I will have my men continue without your aid. Your authority could have made the expulsion more diplomatic, but my men will do what they must. Leave here! 《就算沒有你的幫忙，我的手下也同樣要繼續下去。原本你的權威可以讓事情做得更漂亮，但我的手下該做的還是要做。離開這邊！》~
@37625  = ~I'm sure that, as we speak, the nobles argue over the relative benefits of white and red Evermeet wine, merely 1,000 gold pieces per glass. 《我很確定，貴族們可以為了永聚島的紅酒與白酒間，僅僅幾千金幣的差異而爭辨。》~ [NALIA52]
@37626  = ~~
@37627  = ~Only birth and death are destiny; all else is choice and consequence... Come, the sun is setting, and it casts long shadows on our thoughts.《只有出生與死亡是命運，其它都是自取的……來吧，太陽西下，陰影將至。》~
@37628  = ~As well, I would suggest you treat the party with civility lest someone arrange for such an occurrence to happen. Perhaps nearer the zoo.《同樣地，我建議你對隊員禮貌點，以免有人刻意安排一些意外事件。搞不好會在動物園附近發生。》~
@37629  = ~To disarm it, you need to pull the wood back just enough to slip a dagger between the plate and the springs. It requires finesse and patience, my young one.《要想解除它，你必須把木頭拉下來，直到正好可以把匕首插進板子和彈簧中間為止。這需要技巧和耐心，年輕人。》~
@37630  = ~You are right, bard, I am twice rewarded: Once because I am richer in <CHARNAME>'s care, and twice because I am richer here than rotting in some prison of the damned.《你說得沒錯，詩人，我獲得了雙重的報酬：一次是因為我在<CHARNAME>的照顧下變得更加富有，另一重報酬則是我在這裡變得更為富有，而不是在某個可惡的監獄裡。》~
@37631  = ~She's been fun, I must say. If ye want to hook up again, I'll most likely be tending my turnips in the slums. Look for the tower. You can't miss it.《我必須說，她曾經快樂過。如果你想要舊事重提的話，我大可在貧民區照顧我的蕪菁。找尋那座塔樓。你決不會錯過它的。》~
@37632  = ~So be it! You're a tactless bunch of idiots anyway! I've more important things to do. Excuse me.《好吧。不管如何，你們是一群笨拙的白癡。我還有更重要的事情得做。對不起我先走了。》~ [JANJAN80]
@37633  = ~No, I will deal with you no more. You have made your intentions known. Go, report to your supervisors. I'm sure they will be "delighted" about your stand.《不，我不再跟你談了。你的意圖已經表示得很清楚了。去吧，去跟你的上級報告去，我相信他們一定會對你的立場感到很「高興」。》~
@37634  = ~Of course you will. Since you have declared it here, the farmers will not oppose a member of the Order as they have opposed me.《你當然會。既然你已經在這邊宣示清楚了，這些農夫們應該不會敢反抗騎士團的成員。》~
@37635  = ~Lanka? Have they assembled outside? I was told they might. 《蘭卡？他們在外面聚起來了嗎？我聽說他們可能會開始鬧事。》~
@37636  = ~It would appear so, though they are more armed for battle than debate. 《表面上是如此，但是他們準備的是要開戰，而不是辯論。》~
@37637  = ~There will be neither now that the Order has stated its position. Go, knight, and tell them to get off my land.《既然騎士團已經做出了裁判，現在什麼也不會有。去吧，騎士，告訴他們滾出我的土地。》~
@37638  = ~Your help has been appreciated, but I no longer have cause to speak with you. Lanka and I must set about building my regulated hunting range. 《謝謝你的協助，但我現在已經沒有理由再跟你說話了。蘭卡和我必須趕緊開始研究怎麼規劃我的狩獵場。》~
@37639  = ~It is better than the slow death to wilderness that cultivating the soil brings. My former brethren will not think so, but that is their loss.《總比慢慢死在荒郊野外好，我以前的弟兄們不這麼想，但那是他們的損失。》~
@37640  = ~Stop your feeding, my spiders! New victims await! Protect your home! 《蜘蛛們，停止用餐吧！有新的敵人出現了！保護你們的家園！》~
@37641  = ~But why do we need to continue this discussion? You have already begun cleansing the area. One dead? Two? No matter. It will put fear into them. 《我們為什麼要繼續這個話題？你已經開始清楚這塊地方，死了一個人？兩個人？都無所謂，這樣反倒會讓他們知道害怕。》~
@37642  = ~Regardless, you have earned my gratitude. With this simple, brutal act you have solved my problem. Go now, and tell your masters that I am pleased. 《無論如何，你都贏得了我的感謝。你這麼個出手一下，馬上就解決了我的問題。去吧，告訴你的上司說我很滿意。》~
@37643  = ~It was a regrettable thing, but I had a duty to fulfill.《真是件遺憾的事情，但是我得盡我的責任。》~
@37644  = ~I had little choice in the matter, though I will take pleasure in a job well done. 《這件事我沒什麼選擇，但是我很希望看到工作快點結束。》~
@37645  = ~I expected more diplomacy from a member of the Order, though the result is to my liking. It is better the baron have his wild lands, rather than the farmers slowly bleeding the soil to death.《我還以為騎士團的人外交手腕還會高明些，不過結果還是很和我的意。這片野生土地應該歸男爵所管，而不該讓這些農民胡亂破壞水土。》~
@37646  = ~Do not quibble over details. All is well. 《別跟我廢話那些細節。現在一切都很好。》~
@37647  = ~Your simpleminded brutality was just what we needed here. The farmers will be gone in short order. All is well.《你那直接的武力行為，正是我們所需要的手段。那些農夫很快就會離開，一切都會變好。》~
@37648  = ~Very few wanted to come and see what happened at the meeting. You need not tell us your decision; I can tell from the looks we received through the windows. It would seem the Order has no help to offer us.《沒什麼人想過來看看這次會面到底發生了什麼事。你不需要告訴我們你的決定，我們隔著窗戶從你臉上的表情就看得出來。看來騎士團似乎不打算幫助我們。》~
@37649  = ~Moreno... no. Would you have us fight against the Most Noble Order of the Radiant Heart? Metrich's men are one thing, but knights of the Order? No.《莫瑞諾……不，你要我們跟至熱之心騎士團的代理人開戰嗎？麥崔克男爵的手下是一回事，可是騎士團的聖武士？不。》~
@37650  = ~It is over, Moreno, just as the baron hoped it would be. We cannot fight such a group as the Order. The word of law has been passed here, and we are on the losing side. 《這件事結束了，莫瑞諾，結局就像男爵所希望的那樣。我們無法對抗騎士團那樣的群組織，判決已經發佈下來了，而且我們正是失敗的一方。》~
@37651  = ~You are successful, <CHARNAME>, but not right. You have won, but I don't know how you can bear the cost.《你成功了，<CHARNAME>，但是你並不對。你獲勝了，但是我知道你要怎麼承受這代價。》~
@37652  = ~We'll fight you! Here and now if we have to! 《我們會反抗到底！如果有必要，現在就要開始反抗！》~
@37653  = ~But we can win! We...《但我們可以贏的！我們……》~
@37654  = ~Who have you spoken to? Moreno? Pardo? Hooligans! Mere bandits! They have attacked my men and harassed me!《你跟哪些人說過了？！莫瑞諾？帕多？全都些雜碎！都是強盜！他們都出手威脅過我！》~
@37655  = ~Then I will add my voice to yours and have them ousted. All the squatters will be gone.《那我願意幫助你，把他們趕出去。所有的遊民都會從你的領土上消失。》~
@37656  = ~They make claim that they were here first and that you have been burning their crops.《他們宣稱他們才是先到這邊的人，而且你竟然放火燒了他們的穀物。》~
@37657  = ~Lanka? Is this true? 《蘭卡？這是真的嗎？》~
@37658  = ~I... I don't know. Metrich, is what <PRO_HESHE> says true? Have you been attacking their homes? This was to be as peaceful as possible.《我……我不知道，麥崔克，他說的是真的嗎？你派人攻擊了他們家？我們不是應該要盡量保持和平嗎？》~
@37659  = ~What would be your concern? Your hands are far from clean in this matter, my dear. Your precious animals and environment have made you a turncoat. 《你到底要說什麼？親愛的，這件事現在你也有份了，你那些寶貴的牲口和環境已經讓你變成叛徒了。》~
@37660  = ~The state of the land is important, but I did not agree to this. 《這土地的問題是很重要，但是我並不同意這點。》~
@37661  = ~My... my father was injured in one of those fires. You did this? He did this?!《我……我父親在那一場火當中受傷了。是你幹的？真的是你幹的？！》~
@37662  = ~This is not open for discussion! What matters is the land I want and the people that must get off it! 《這不是公開討論的事情！重要的是，我要這塊土地，而且這些人都必須要滾出去！》~
@37663  = ~And I will help you, despite what I have learned. It is my duty.《儘管我得知的真相和你有所差距，我還是要幫助你，因為這是我的職責所在。》~
@37664  = ~I think this is a matter of you trying to pirate this land away from its rightful owners.《我認為這件事根本就是你想要剽竊這些人的土地。》~
@37665  = ~You are not here to think! Leave the thinking to your betters! 《你不需要動腦筋！把需要動腦筋的工作留給比你適當的人！》~
@37666  = ~I begin to think you are not such a good steward for the lands after all.《我開始在想，你並不是一個好的領主。》~
@37667  = ~Are all of you imbeciles thinking now?! Who asked what you think?! I've bought and sold better than you at market! No, this will go no further!《你們都是白癡嗎？！有誰叫你們要動腦筋去想的？！我在市場上都買賣過比你們好一百倍的人！不，這件事不能再這樣繼續下去了！。》~
@37668  = ~I tried to play the caring figurehead, but you just kept pushing! Fine! We'll do it the old-fashioned way! I claim this land because I'm bloody rich and you're not!《我原本很想當名體貼的主人，但你們實在太超過了！乾脆就讓我們照老方法來吧！我宣稱擁有這塊土地，因為他媽的我就是比你們有權有勢！》~
@37669  = ~Now just calm down, and we'll straighten this all out.《冷靜下來，我們一起把這件事解決掉。》~
@37670  = ~You will not threaten anyone else in my presence!《你不可以威脅在座的任何人！》~
@37671  = ~You will respect my authority!《你必須要尊重我的權威！》~
@37672  = ~Well, the side you have chosen to support is now quite obvious, I think. I would have preferred a peaceful solution, but if this is the way it must be, I do appreciate being on the winning side.《我想你現在支持誰已經很明顯了。雖然我希望這件事能夠和平落幕，但倘若真無可避免的話，我想位在勝利的這一邊總是比較好。》~
@37673  = ~What Brunson is trying to say is, thanks for killing that son of a bi...《布魯森想說的是，謝謝你殺掉了那個該死的雜……》~
@37674  = ~Ah, what Moreno is trying to say is, thank you for ending this.《啊，莫瑞諾想說的是，謝謝你結束了這一切。》~
@37675  = ~Regardless, this matter is resolved. We will try to bring our lives back to some semblance of normality. We will also try to resolve what guilt we feel for what we did during this incident. 《不管怎麼樣，這件事總算是結束了。我們會努力讓日子回復以往的正常生活，也會努力化解我們在這場意外中的罪惡感。》~
@37676  = ~I had hoped to bring a peaceful end to this matter. Make sure some good comes of this.《我也很希望這件事能夠和平收場，不希望發生什麼不好的後果。》~
@37677  = ~Neither side was without fault, though the baron was the source of much of this.《兩方都有錯誤，但是男爵要付的責任比較大。》~
@37678  = ~This whole incident has not filled me with respect for human nature.《這整件事並沒有讓我感受到對人性的感激與敬重。》~
@37679  = ~I'm sure everything will be fine. Thank you.《我相信一切都會沒事的，謝謝你。》~
@37680  = ~True, though we let ourselves sink to his level. Everything will be fine in time. Thank you again.《的確，但是我們卻讓自己墮落到跟他同樣的程度。不過我相信經過一陣子之後，一切又都會沒事。再次謝謝你。》~
@37681  = ~I understand, though there will be room for healing now. Everything will be fine in time, I am sure.《我明白，但至少現在我們有了療傷止痛的空間。我相信經過一陣子之後，一切就會沒事的。》~
@37682  = ~You have returned, though not quite as I expected. I must say that your visit to the Metrich barony has yielded some surprising results. 《你回來了，不過和我的預期不盡相同。我必須承認你到麥崔克男爵領地之行的結果出人意料之外。》~
@37683  = ~I have received word that your refusal to help the baron forced him to send his own men against the squatters on the disputed land. The result was a slaughter.《我聽說你拒絕幫助男爵，迫做他派自己的手下來對抗遊民，結果造成一場屠殺。》~
@37684  = ~You helped the baron rid his land of the supposed squatters, but word comes that they appeared to be nothing more than farmers. The baron may have been untrue.《你幫助男爵消滅了他土地上那些所謂的遊民，不過據說他們只不過是尋常的農夫罷了。男爵很可能撒了謊。》~
@37685  = ~You helped the baron rid his land of the squatters, but I hear they appeared to be naught but farmers and the baron had been harassing them for some time.《你幫助男爵消滅了他土地上那些所謂的遊民，不過據說他們只不過是尋常的農夫，而且男爵已經騷擾他們很久了。》~
@37686  = ~I am told you killed the squatters in cold blood. I am certain there could have been a bloodless way to end this, if indeed they had to be moved at all.《有人告訴我你冷血無情地殺死了這些遊民。我相信就算真的要他們離開，也有比較不血腥的方法來了結這件事。》~
@37687  = ~The baron is dead, and it will shock the business community of Athkatla. We must ready to defend against the scrutiny to come. Did you have cause to kill him?《男爵死了，這個消息將會震憾阿斯卡特拉。我們必須為隨之而來的調查做好防衛的準備。你有殺他的理由嗎？》~
@37688  = ~Greater Mummy《遠古木乃伊》~
@37689  = ~I did not find evidence of such atrocity while I was there. I just didn't trust him.《我在該地沒有發現任何暴行的證據。我就是不信任他。》~
@37690  = ~The dog! I should have killed him there and then! I did not trust him.《那個無賴！我應該在那裡就把他宰了！我不信任他。》~
@37691  = ~This has been an embarrassing failure, and you have been found lacking. Your role was peacemaker, and instead you left the problem for others to deal with.《這是一件令人難堪的失敗，而你有所失職。你的角色是維持和平，可是你卻留下問題讓其他人去解決。》~
@37692  = ~Perhaps if you had spoken to the squatters, the ones the baron said attacked, we might have found signs of the carnage to come. It could have been prevented.《如果你先和那些男爵口中的遊民交談，也許我們會事先看出一些端倪。大屠殺也許就能避免。》~
@37693  = ~It is resolved, but it does not sit well. I have worries about continuing your service, but as it happens, we are in desperate need of a paladin immediately.《事情解決了，但並不圓滿。我不太放心讓你繼續出任務，可是不巧我們正急切需要一名聖武士。》~
@37694  = ~What's done is done; the squatters have dropped their claims and dispersed. You fulfilled your original mission, though there may have been more at stake.《事情做了就做了；那些遊民放棄了他們的訴求，四處逃竄。你完成了原來的任務，儘管原本事情可能沒那麼簡單。》~
@37695  = ~The matter should be closely studied, but we've no time. We need an able paladin and cannot spare you to investigate things that cannot be changed.《這件事應該詳加調查，可是我們沒有時間。我們需要一名能幹的聖武士，無法讓你花時間調查已經無法改變的事實。》~
@37696  = ~There was evidence of that, but my duty was to the task I was sent to achieve. 《的確有這種跡象，可是我的責任是完成交付給我的任務。》~
@37697  = ~Aiding the baron was better for the Order. It was a peaceful solution as well.《幫助男爵對於騎士團比較有利。這也不失為合平解決之道。》~
@37698  = ~I... knew of no such evidence. The squatters were quite clearly belligerent.《我……我完全不知情。那些遊民相當好戰。》~
@37699  = ~Word has come to me that all involved in this matter, from the baron to the squatters, have been killed! Was this your intent? Is this how you restore order?《有人告訴我，所有和這件事有關的人，從男爵到遊民全都被殺害了！這是你的意圖嗎？這就是你恢復秩序的方法？》~
@37700  = ~It was true to the original mission, but events should have changed your focus. We champion goodness beyond the letter of the law. We must also be flexible.《就原始的任務來說是沒錯，但是事情的發展應該讓你改變焦點。我們追求正義之心比起一紙律約還要重要。我們也必須要能變通。》~
@37701  = ~We had no business supporting the baron if he was in the wrong. His patronage is valuable, but not as much as the faith we lost from those that were wronged.《如果男爵是錯的一方，我們不應該支持他。他的資助相當有價值，然而比不上我們從那些被他迫害的人身上失去的信心。》~
@37702  = ~The farmers have apparently gone separate ways, so making amends would prove difficult. Regardless, our relationship with the baron will be discontinued.《那些農民顯然已經四下逃逸，想要亡羊補牢相當困難。無論如何，我們將與男爵斷絕關係。》~
