@12561  = ~~ [MINER06]
@12621  = ~No, I am not your captor. I was recently a prisoner myself.~
@12622  = ~Oh, glorious praise to you then, that you have freed yourself. Can you not see your way to helping an old man to his own freedom, then?~
@12623  = ~Who are you, old man? How did you come to be imprisoned here in such a manner?~
@12624  = ~My name is Frennedan, and I have been held in this glass bottle for some time now. Why, I do not know, but I fear it is to be magically experimented on. Please help me!~
@12625  = ~Alyth~
@12626  = ~Avery~
@12627  = ~Of course, I will do everything I can to help you. Do you know how I can remove you from your cage?~
@12628  = ~Bork~
@12629  = ~There is a key in one of the chests that will open up this door. Please hurry!~
@12630  = ~I would prefer to know who you are and how you came to be imprisoned here first.~
@12631  = ~Brilla~
@12632  = ~Of course, I will do everything I can to help you. Do you know how I can remove you from your cage?~
@12633  = ~I have seen others that have been experimented on, as you say. It is a most terrible thing... do you know who is behind all of this?~
@12634  = ~No, I know nothing of who has done all of this, my <LADYLORD>. Please help me! I fear I am too old to survive for long!~
@12635  = ~Of course, I will do everything I can to help you. Do you know how I can remove you from your cage?~
@12636  = ~I am not here to torment you, old man, but I can spare no time to aid you either.~
@12637  = ~Aaaah! You will not help an old, feeble man?~
@12638  = ~Perhaps you will aid a helpless little boy, then? Would you, kind <LADYLORD>? I am ever so cold and lonely.~
@12639  = ~I am not certain I will be able to free you. Do you know how that glass door of yours is opened?~
@12640  = ~There is a key in one of the chests, I believe. Oh, please find it and help me! Please aid an old man!~
@12641  = ~I find I trust no one in this prison. You can stay where you are for now, old man.~
@12642  = ~I am not certain I can free you. Do you know how to open your glass door?~
@12643  = ~I am not certain I trust you, Frennedan. Perhaps someone has put you in your cage for a good reason.~
@12644  = ~Very well, I shall find it and release you. Nobody should be treated like this.~
@12645  = ~Please hurry!~
@12646  = ~I am unsure... you seem far too eager somehow. How do I know I can trust you?~
@12647  = ~What?! What manner of sorcery is this?! You turn into a boy before my eyes and expect me to trust you? Explain yourself!~
@12648  = ~*sniff* I just would like to be free ever so much, <PRO_SIRMAAM>. Please help me. Please let me go.~
@12649  = ~I know not what you are, but you will stay in that glass cage safely away from me.~
@12650  = ~No, no, please! Won't you even help a little boy? Ooooh...~
@12651  = ~You talk like a boy, but a moment ago you spoke as an old man. I would know what you were before I free you... I have had enough of doppelgangers.~
@12652  = ~I'm not a dop, a dop... one of those. Whatever that is, <SIRMAAM>. Ooooh, I don't know what to say to get you to help me. I've been in here for so long.~
@12653  = ~Ah, very well, then. I will attempt to release you, then. I shall watch you carefully, however, and the first move you make shall be your last!~
@12654  = ~I would be quite the fool to release you, then, wouldn't I? You'll stay where you are until you convince me otherwise.~
@12655  = ~I'll not be so easily tricked! You'll stay behind that glass where you belong!~
@12656  = ~Very well. Be warned, however, that I shall keep a close eye on you. The first sign of a threat from you and it shall be the last you make, I swear.~
@12657  = ~Thank you! Oh, thank you ever so much! Please hurry!~
@12658  = ~Please let me out of here. I beg of you to hurry!~
@12659  = ~Thank you kindly for letting me go. I am ever so tired, but I cannot wait to taste true freedom.~
@12660  = ~Thanks for freeing me! I am not being troublesome, am I? I mean no harm.~
@12661  = ~I shall not endanger my party by having you at our backs. Find your own way to the surface.~
@12662  = ~What? Impudent lout!~
@12663  = ~Now I will kill you all, foolish ones!~
@12664  = ~Do you know anything about the prison, such as a way out?~
@12665  = ~Are you sure you don't know who is behind all of this? Anything you could tell me would be most useful.~
@12666  = ~Whatever you are, I have decided to end your existence just in case!~
@12667  = ~No, I am sorry. I saw nothing when I was brought here.~
@12668  = ~No, I have seen nothing of my captor since my arrival. Only his servants. I am afraid I know little.~
@12669  = ~I cannot wait to finally be free of this horrible place. Thank you for allowing me to follow you out, my <LADYLORD>.~
@12670  = ~No, it is nothing.~
@12671  = ~I'm the best at what I do, and what I do ain't pretty! Hahahahaha!~ [SSWORD36]
@12672  = ~What?! You attack me?!~
@12673  = ~I find it truly amazing that you have made it this far, tasty one, seeing as you can be so easily fooled!~
@12674  = ~I am unsure if I am even able to aid you. Do you know how to unlock the glass door of your cage?~
@12675  = ~You seem too eager and I trust too little to let you out. You will stay where you are.~
@12676  = ~Ah! Thou hast come once again to prey upon me, my "master"!~ [SILLL01]
@12677  = ~I am not your master, dear lady. Is there aught that I can do for you?~
@12678  = ~Tell me who you are and what you are doing here!~
@12679  = ~~
@12680  = ~Chill Touch~
@12681  = ~Flame Blade~
@12682  = ~Good Berry~
@12683  = ~Ghoul Touch~
@12684  = ~Idol~
@12685  = ~Shocking Grasp~
@12686  = ~Spiritual Hammer~
@12687  = ~Shillelagh~
@12688  = ~Gantolandan~
@12689  = ~Gatewarden~
@12690  = ~Gellana Mirrorshade~
@12691  = ~Glanmarie~
@12692  = ~Gnarl~
@12693  = ~Hairtooth~
@12694  = ~Palin~
@12695  = ~Husam~
@12696  = ~Jalantha Mistmyr~
@12697  = ~Kolvar~
@12698  = ~Korax~
@12699  = ~Lena~
@12700  = ~Liia Jannath~
@12701  = ~Mal-Kalen~
@12702  = ~Marl~
@12703  = ~Louise~
@12704  = ~Belt~
@12705  = ~Bentan~
@12706  = ~Black Lily~
@12707  = ~Brandilar~
@12708  = ~Brathlen~
@12709  = ~Casson Belde'ar~
@12710  = ~Dabron Sashenstar~
@12711  = ~Deagan~
@12712  = ~Delsvirftanyon~
@12713  = ~Delthyr~
@12714  = ~Enna Hendrick~
@12715  = ~Diviner~
@12716  = ~Droth~
@12717  = ~Dunkin~
@12718  = ~Gamesman~
@12719  = ~Gandolar Luckyfoot~
@12720  = ~Gantolandan~
@12721  = ~Gatewarden~
@12722  = ~Gellana Mirrorshade~
@12723  = ~Glanmarie~
@12724  = ~Gnarl~
@12725  = ~Hairtooth~
@12726  = ~Palin~
@12727  = ~Husam~
@12728  = ~Jalantha Mistmyr~
@12729  = ~Kolvar~
@12730  = ~Korax the Ghoul~
@12731  = ~Lena~
@12732  = ~Liia Jannath~
@12733  = ~Mal-Kalen~
@12734  = ~Marl~
@12735  = ~Yes, I am your master. Calm yourself, woman!~
@12736  = ~Nothing shall prey on you except death!~
@12737  = ~Do for me? Do for me?! After all that thou hast already done! ~
@12738  = ~Thou knowest who I am, foul one! Or dost thou now mistake me for HER?! You created me, fool! And killed and created and killed and created! And now I shall put an end to thee!~
@12739  = ~I shall not! You may have created me, but I am not a plaything! I am not HER, no matter how thou dost wish it! Kill me a dozen times over, I am never her!~
@12740  = ~Aye, so be it! Damn my copied soul, and damned be thine as well! Kill me again, and again, and again!~
@12741  = ~And who is this woman I might wish you to be?~
@12742  = ~No, you are not my creature to play with. I apologize for anything I may have done.~
@12743  = ~And who might you be, then?~
@12744  = ~necromancer~
@12745  = ~transmuter~
@12746  = ~Narlen Darkwalk~
@12747  = ~Neb~
@12748  = ~Poe~
@12749  = ~Ragefast~
@12750  = ~Raiken~
@12751  = ~Ramazith~
@12752  = ~Rededge~
@12753  = ~Samuel~
@12754  = ~Shoal the Nereid~
@12755  = ~Sil~
@12756  = ~Silence~
@12757  = ~Telman~
@12758  = ~Teven~
@12759  = ~Tremain Belde'ar~
@12760  = ~Varci Roaringhorn~
@12761  = ~Wilton~
@12762  = ~Yago~
@12763  = ~Zorl~
@12764  = ~Narlen Darkwalk~
@12765  = ~Neb~
@12766  = ~Poe~
@12767  = ~Ragefast~
@12768  = ~Raiken~
@12769  = ~Ramazith~
@12770  = ~Rededge~
@12771  = ~Samuel~
@12772  = ~Shoal the Nereid~
@12773  = ~Sil~
@12774  = ~Silence~
@12775  = ~Telman~
@12776  = ~Teven~
@12777  = ~Tremain Belde'ar~
@12778  = ~Varci Roaringhorn~
@12779  = ~Wilton~
@12780  = ~Yago~
@12781  = ~Zorl~
@12782  = ~~
@12783  = ~~
@12784  = ~~
@12785  = ~Illusionist~
@12786  = ~Invoker~
@12787  = ~Necromancer~
@12788  = ~Transmuter~
@12789  = ~Eagle~
@12790  = ~Squirrel~
@12791  = ~Horse~
@12792  = ~Chicken~
@12793  = ~Cat~
@12794  = ~Cow~
@12795  = ~Eagle~
@12796  = ~Squirrel~
@12797  = ~Sleeping Man~
@12798  = ~Sleeping Woman~
@12799  = ~Sleeping Girl~
@12800  = ~Sleeping Boy~
@12801  = ~Sleeping Dwarf~
@12802  = ~Sleeping Elf~
@12803  = ~Sleeping Halfling~
@12804  = ~Sleeping Man~
@12805  = ~Sleeping Woman~
@12806  = ~Sleeping Boy~
@12807  = ~Sleeping Girl~
@12808  = ~Sleeping Dwarf~
@12809  = ~Sleeping Elf~
@12810  = ~Sleeping Halfling~
@12811  = ~major~
@12812  = ~hair~
@12813  = ~minor~
@12814  = ~clothing~
@12815  = ~Color Choices~
@12816  = ~~
@12817  = ~Chanthalas Ulbright~
@12818  = ~Charleston Nib~
@12819  = ~Cyrdemac~
@12820  = ~Dillar~
@12821  = ~Digger~
@12822  = ~Bogeyman~
@12823  = ~Alyth~
@12824  = ~Avery~
@12825  = ~Bork~
@12826  = ~Brilla~
@12827  = ~Chanthalas Ulbright~
@12828  = ~Charleston Nib~
@12829  = ~Cyrdemac~
@12830  = ~Digger~
@12831  = ~Dillar~
@12832  = ~Fergus~
@12833  = ~~
@12834  = ~Messenger~
@12835  = ~Ogre~
@12836  = ~Poisoned Man~
@12837  = ~Sorcerer~
@12838  = ~Voice~
@12839  = ~Warrior~
@12840  = ~White Knight~
@12841  = ~Woman~
@12842  = ~Farmer Brun~
@12843  = ~Gallor~
@12844  = ~Ithtyl~
@12845  = ~Krotan~
@12846  = ~Lenore~
@12847  = ~Lobar~
@12848  = ~Nantrin Bellowglyn~
@12849  = ~Nila~
@12850  = ~Oberan~
@12851  = ~Ogre Mage~
@12852  = ~Pique~
@12853  = ~Rashad~
@12854  = ~Satos~
@12855  = ~Shelton~
@12856  = ~Tor Lobo~
@12857  = ~Utor~
@12858  = ~Messenger~
@12859  = ~Ogre~
@12860  = ~Poisoned Man~
@12861  = ~Sorcerer~
@12862  = ~Voice~
@12863  = ~Warrior~
@12864  = ~White Knight~
@12865  = ~Woman~
@12866  = ~Farmer Brun~
@12867  = ~Gallor~
@12868  = ~Ithtyl~
@12869  = ~Krotan~
@12870  = ~Lenore~
@12871  = ~Laerta~
@12872  = ~Nantrin Bellowglyn~
@12873  = ~Nila~
@12874  = ~Oberan~
@12875  = ~Ogre Mage~
@12876  = ~Pique~
@12877  = ~Rashad~
@12878  = ~Satos~
@12879  = ~Shelton~
@12880  = ~Tor Lobo~
@12881  = ~Utor~
@12882  = ~Loading Area... Please Wait.~
@12883  = ~Guard~
@12884  = ~Serving Wench~
@12885  = ~Town Crier~
@12886  = ~Flesh Golem~
@12887  = ~Smith~
@12888  = ~Bartender~
@12889  = ~Cook~
@12890  = ~Guard~
@12891  = ~Serving Wench~
@12892  = ~Town Crier~
@12893  = ~Smith~
@12894  = ~Bartender~
@12895  = ~Cook~
@12896  = ~Back~
@12897  = ~Bless~
@12898  = ~Command: Die~
@12899  = ~Cure Light Wounds~
@12900  = ~Detect Evil~
@12901  = ~Entangle~
@12902  = ~Magical Stone~
@12903  = ~Protection From Evil~
@12904  = ~Remove Fear~
@12905  = ~Sanctuary~
@12906  = ~Shillelagh~
@12907  = ~Aid~
@12908  = ~Barkskin~
@12909  = ~Chant~
@12910  = ~Charm Person or Mammal~
@12911  = ~Find Traps~
@12912  = ~Flame Blade~
@12913  = ~Goodberry~
@12914  = ~Hold Person~
@12915  = ~Know Alignment~
@12916  = ~Resist Fire~
@12917  = ~Silence, 15' Radius~
@12918  = ~Slow Poison~
@12919  = ~Spiritual Hammer~
@12920  = ~Draw Upon Holy Might~
@12921  = ~Resist Cold~
@12922  = ~Animate Dead~
@12923  = ~Call Lightning~
@12924  = ~Dispel Magic~
@12925  = ~Hold Animal~
@12926  = ~Protection From Fire~
@12927  = ~Remove Curse~
@12928  = ~Remove Paralysis~
@12929  = ~Invisibility Purge~
@12930  = ~Miscast Magic~
@12931  = ~Rigid Thinking~
@12932  = ~Strength of One~
@12933  = ~Cure Serious Wounds~
@12934  = ~Animal Summoning I~
@12935  = ~Free Action~
@12936  = ~Neutralize Poison~
@12937  = ~Animal Summoning II~
@12938  = ~Cure Critical Wounds~
@12939  = ~Flame Strike~
@12940  = ~Raise Dead~
@12941  = ~True Seeing~
@12942  = ~Wall of Fire~
@12943  = ~Grease~
@12944  = ~Armor~
@12945  = ~Burning Hands~
@12946  = ~Charm Person~
@12947  = ~Color Spray~
@12948  = ~Blindness~
@12949  = ~Friends~
@12950  = ~Protection From Petrification~
@12951  = ~Hold Portal~
@12952  = ~Identify~
@12953  = ~Infravision~
@12954  = ~Magic Missile~
@12955  = ~Protection From Evil~
@12956  = ~Shield~
@12957  = ~Shocking Grasp~
@12958  = ~Sleep~
@12959  = ~Chill Touch~
@12960  = ~Chromatic Orb~
@12961  = ~Larloch's Minor Drain~
@12962  = ~Blur~
@12963  = ~Detect Evil~
@12964  = ~Detect Invisibility~
@12965  = ~Fog Cloud~
@12966  = ~Horror~
@12967  = ~Invisibility~
@12968  = ~Knock~
@12969  = ~Know Alignment~
@12970  = ~Luck~
@12971  = ~Resist Fear~
@12972  = ~Melf's Acid Arrow~
@12973  = ~Mirror Image~
@12974  = ~Stinking Cloud~
@12975  = ~Strength~
@12976  = ~Web~
@12977  = ~Wizard Lock~
@12978  = ~Agannazar's Scorcher~
@12979  = ~Ghoul Touch~
@12980  = ~Vocalize~
@12981  = ~Clairvoyance~
@12982  = ~Dispel Magic~
@12983  = ~Flame Arrow~
@12984  = ~Fireball~
@12985  = ~Haste~
@12986  = ~Hold Person~
@12987  = ~Invisibility, 10' Radius~
@12988  = ~Lightning Bolt~
@12989  = ~Monster Summoning I~
@12990  = ~Non-Detection~
@12991  = ~Protection From Normal Missiles~
@12992  = ~Slow~
@12993  = ~Skull Trap~
@12994  = ~Vampiric Touch~
@12995  = ~Wraithform~
@12996  = ~Dire Charm~
@12997  = ~Ghost Armor~
@12998  = ~Confusion~
@12999  = ~Dimension Door~
@13000  = ~Fire Shield~
@13001  = ~Ice Storm~
@13002  = ~Improved Invisibility~
@13003  = ~Minor Globe of Invulnerability~
@13004  = ~Monster Summoning II~
@13005  = ~Stone Skin~
@13006  = ~Wall of Fire~
@13007  = ~Animate Dead~
@13008  = ~Cloudkill~
@13009  = ~Cone of Cold~
@13010  = ~Monster Summoning III~
@13011  = ~Shadow door~
@13012  = ~Grease~
@13013  = ~Armor~
@13014  = ~Burning Hands~
@13015  = ~Charm Person~
@13016  = ~Color Spray~
@13017  = ~Blindness~
@13018  = ~Friends~
@13019  = ~Protection From Petrification~
@13020  = ~Hold Portal~
@13021  = ~Identify~
@13022  = ~Infravision~
@13023  = ~Magic Missile~
@13024  = ~Protection From Evil~
@13025  = ~Shield~
@13026  = ~Shocking Grasp~
@13027  = ~Sleep~
@13028  = ~Chill Touch~
@13029  = ~Chromatic Orb~
@13030  = ~Larloch's Minor Drain~
@13031  = ~Blur~
@13032  = ~Detect Evil~
@13033  = ~Detect Invisibility~
@13034  = ~Fog Cloud~
@13035  = ~Horror~
@13036  = ~Invisibility~
@13037  = ~Knock~
@13038  = ~Know Alignment~
@13039  = ~Luck~
@13040  = ~Resist Fear~
@13041  = ~Melf's Acid Arrow~
@13042  = ~Mirror Image~
@13043  = ~Stinking Cloud~
@13044  = ~Strength~
@13045  = ~Web~
@13046  = ~Wizard Lock~
@13047  = ~Agannazar's Scorcher~
@13048  = ~Ghoul Touch~
@13049  = ~Vocalize~
@13050  = ~Clairvoyance~
@13051  = ~Dispel Magic~
@13052  = ~Flame Arrow~
@13053  = ~Fireball~
@13054  = ~Haste~
@13055  = ~Hold Person~
@13056  = ~Invisibility, 10' Radius~
@13057  = ~Lightning~
@13058  = ~Monster Summoning I~
@13059  = ~Idol~
@13060  = ~Non-Detection~
@13061  = ~Protection From Normal Missiles~
@13062  = ~Slow~
@13063  = ~Skull Trap~
@13064  = ~Vampiric Touch~
@13065  = ~Wraithform~
@13066  = ~Dire Charm~
@13067  = ~Ghost Armor~
@13068  = ~Confusion~
@13069  = ~Dimension Door~
@13070  = ~Fireshield (Blue)~
@13071  = ~Ice Storm~
@13072  = ~Improved Invisibility~
@13073  = ~Minor Globe of Invulnerability~
@13074  = ~Monster Summoning II~
@13075  = ~Stoneskin~
@13076  = ~Wall of Fire~
@13077  = ~Animate Dead~
@13078  = ~Cloudkill~
@13079  = ~Cone of Cold~
@13080  = ~Monster Summoning III~
@13081  = ~Shadow Door~
@13082  = ~Created, eh? Very well, I'll feel no remorse at ending your existence, then!~
@13083  = ~Males of the realms can excel in whatever profession they choose, whether wizardry, thievery, or the arts of war. ~
@13084  = ~Females of the realms can excel in whatever profession they choose, whether wizardry, thievery, or the arts of war.~
@13085  = ~History of Amn~
@13086  = ~History of Calimshan~
@13087  = ~History of Cormyr~
@13088  = ~History of Dambrath~
@13089  = ~History of Durpar and Var~
@13090  = ~History of Estagund~
@13091  = ~History of Gondegal the Lost King~
@13092  = ~History of Halruaa~
@13093  = ~History of Luiren~
@13094  = ~History of Shadowdale I~
@13095  = ~History of Shadowdale II~
@13096  = ~History of Shadowdale III~
@13097  = ~History of Shadowdale IV~
@13098  = ~History of Shadowdale V~
@13099  = ~History of Shadowdale VI~
@13100  = ~History of Shadowdale VII~
@13101  = ~History of Shadowdale VIII~
@13102  = ~History of Shadowdale IX~
@13103  = ~History of Shadowdale X~
@13104  = ~History of Shadowdale XI~
@13105  = ~History of Shadowdale XII~
@13106  = ~History of Shadowdale XIII~
@13107  = ~History of Tethyr~
@13108  = ~History of the Bell in the Depths~
@13109  = ~History of the Chosen of Mystra~
@13110  = ~History of the Dales and the Elven Court~
@13111  = ~History of the Dead Three~
@13112  = ~History of the Dragon Coast~
@13113  = ~History of the Drow I~
@13114  = ~History of the Drow II~
@13115  = ~History of the Fateful Coin~
@13116  = ~History of the Last March of the Giants~
@13117  = ~History of the Moonsea~
@13118  = ~History of the North I~
@13119  = ~History of the North II~
@13120  = ~History of the North III~
@13121  = ~History of the North IV~
@13122  = ~History of the North V~
@13123  = ~History of the North VI~
@13124  = ~History of the North VII~
@13125  = ~History of the North VIII~
@13126  = ~History of the North IX~
@13127  = ~History of the North X~
@13128  = ~History of the Red Ravens~
@13129  = ~History of the Sisters of Light and Darkness~
@13130  = ~History of the Unicorn Run~
@13131  = ~History of the Valley of the Gods~
@13132  = ~History of the Vast~
@13133  = ~History of the Western Heartland~
@13134  = ~History of the Zhentarim~
@13135  = ~History of the Ulgarth~
@13136  = ~History of Amn:

Amn has the good fortune to have abundant natural resources; some would say Amn is the richest land on the continent. This has worked in Amn's favor for generations, because even if they were conquered, the new masters would be gentle, looking to gain wealth from the land rather than to put it to the torch.

Amn has been a center of trade and commerce for as long as anyone can remember. Oral traditions handed down from father to son tend to support the theory that Amn has been a trade center for at least 800 years. Unfortunately, written records are difficult to find and often incomplete. It would seem the typical Amnian citizen was too busy trying to fill their coffers to write down events of the day.

Amn has always been more interested in the present and the future than the past, and this makes an accurate history difficult. The best records, the business papers of the oldest trading companies, are jealously guarded. The fear of revealing "trade secrets" is stronger than the call of history, so the average citizen knows very little about Amn's past.

It appears that the Amn of 100 years ago was very much like the Calimshan of today. Each major city was basically an independent entity, banding together for defense when necessary and fighting for control of territory and profitable trade routes the rest of the time. A particularly brutal trade war began 24 years ago, with each city exacting prohibitive tariffs on goods imported from the others. The trade war escalated, and city troops began to raid caravans sponsored by other cities. In a matter of months commerce was brought to a halt, a number of cities were under siege, and war threatened to engulf the entire region.

Into the breach stepped a young merchant named Thayze Selemchant. Thayze was smart, charismatic, and very well connected: The Selemchant trading house was one of the oldest and richest in Athkatla. He secretly contacted representatives of the five other richest merchant houses in Amn and started to plan.

The first part of the plan involved the careful sprinkling of rumors about outside threats. One involved a pirate invasion from the Nelanther, another was about a massing of orcs just on the other side of the Cloud Peaks. Thayze even started a rumor about an elf army in the Forest of Tethir, ready to pounce on a divided Amn. None of the rumors were true, but they began to turn people's thoughts toward unity, not war.

Thayze knew that if he and the other members of his council were to take control of Amn, they would need broad-based popular support. Tensions between cities and merchant houses were still high, so to get that support, Selemchant and the others agreed to drop their family names and never use them again.

When news of a "Council of Six" spread throughout the land, many people accepted their rule. A group that would unite Amn under one rule, governing for the benefit of all instead of one city or trading company over another, was indeed a welcome change. The council raised an army (at great personal expense) to quell the few pockets of resistance that remained and has been in total control of Amn for the past 22 years.~
@13137  = ~History of Calimshan:

Calimshan is older than either of the other Empires of the Sands, first settled over 7,000 years ago by the Djen, a humanoid race from the Elemental Plane of Air. These Djen were known to be very magical, and during the course of their rule they developed many new spells previously not available in the Plane of Air.

The Djen prospered for over 1,000 years in Calimshan, but their reign was ended by an invasion of creatures and minions from the Plane of Fire. Some say this is where the bitter hatred between djinni and efreeti started, though others contend this was just a result of a hatred that was already there. Whatever the cause, the battle was long and bloody, and took over 100 years to complete. The Djen finally routed the attackers, but were greatly weakened in the attempt. They slowly declined, and the last mention of the Djen is just under 6,000 years old.

For the next 4,000 years Calimshan was dominated by nomadic tribes of humans. Tribes from various places—Chult, the Shaar, The Shining Plains, Chondath, even Amn and Cormyr—took turns dominating, only to be conquered by the next, nearly identical tribe.

Slowly, the nomadic nature of Calimshan began to change. As explorers and traders from Amn, Waterdeep, and Cormyr discovered the wonders of the area, some tribes began to settle down and develop new means of support, like fishing, farming, or trading. These communities began to band together for mutual protection, and soon a civilization was born. It was only 1,300 years ago that the Shoon Empire (now called Iltkazar) came into being.

The Shoons were a grand and glorious empire, and their excesses were the foundation of Calishite snobbery today. They grew wise and powerful in the ways of magic, and ships and caravans bearing the Shoon flag traveled across the realms. Shoon himself, a particularly powerful mage, created a book of great power during this time called the Tome of the Unicorn. The exact location of the Tome has been lost in time, but since the book is 2' by 3' and made of pure metal, it is likely to still be around... somewhere.

900 years ago the Shoon empire abruptly vanished. A great magical upheaval was suspected at first, but learned mages of other lands dispute the claim. A force that great, they say, would have disturbed magical powers and beings throughout the realms, and that didn't happen. Sages who have studied the Shoon at great length have reached no definite conclusions, but the most popular theories today center around a plague or disease that decimated the population.

Today, the Shoon impact on Calimshan is still great. The grandeur of that empire is responsible, more than anything else, for the strong national character of Calimshan today. The ruins of the Shoon's greatest city, Monrativi Teshy Mir, can still be found in the wilderness to the west of the edge of the Forest of Mir (see below for more on Monrativi Teshy Mir).

Since the fall of Shoon, no force or people has risen to solely dominate the land. There are a half dozen or so major cities, each of which exerts its power over its own area. About 170 years ago, a man in Calimport amassed a large army and declared himself "Pasha" over the land. Before that army could march, however, the representatives of each major city met and agreed to recognize the Pasha's authority in limited areas, and to pay a small tribute to him; enough to pay for the works the Pasha was expected to do. The oldest son of each Pasha inherits the title; if there is no son, the mayors of each large city select a new one. The current Pasha, Rashid Djenispool, has ruled for over 18 years, and is the grandson of a pasha elected by the mayors of Calimshan 44 years ago.~
@13138  = ~History of Cormyr: 

Cormyr dates its years from the founding of House Obarskyr 1,342 years ago, the first of the noble houses and the line of its kings. For the bulk of this time, Cormyr was little more than a single city (Suzail) and a few fortified outposts. At times the monarch was forced by rebellion and intrigue to rule from those outposts instead of from the throne. King Azoun is the fourth of his name and the 71st of his line. 

The land has been officially at peace for many years—since Rhigaerd overthrew the last of the border raiders. However, Cormyrean armies have taken part in many actions in nearby regions, recently mustering its forces to face Gondegal, the rebel of Arabel; to occupy Tilverton on the marches of the Dalelands; and to lead a crusade against the great Tuigan horde invading from the east. One wit has noted that "Yes, the land is at peace, but the army has to keep busy." In addition to pursuing major actions, Cormyrean patrols often skirmish with bandits on the roads in the north and west, and are at present battling orcs and other creatures north and east of Cormyr in Tilver's Gap and Shadow Gap. Both of these areas are threatened by raiders who will menace Cormyr itself if they ever overrun Tilverton. Cormyr has built a fortress, Castle Crag, to defend the kingdom from attacks from that quarter, and maintains the High Horn to protect against attacks from the West.~
@13139  = ~History of Dambrath:

The nation of Dambrath was formed out of a barbarian kingdom almost a half-millennium ago by a powerful alliance of priestesses of Loviatar and the drow from the city of T'lindhet.

In 211 DR, fleeing from the destruction of their homeland by the then-great kingdoms of Unther and Mulhorand, four tribes of barbarians entered Dambrath. They found a coast where the dolphins danced and plains where the grass was long. They roamed from the borders of the Walls of Halruaa, as far east as the current borders of Estagund. They soon became known as the Arkaiun, or People of the Wind.

In 545 DR a great warchief, Reinhar, arose to lead the tribes. The halflings of Luiren were quickly enslaved, and several of the coastal cities of Durpar were captured or razed. Estagund fell to his rule, and eventually Reinhar turned his attention to Halruaa.

An army of 40,000 horsemen and a fleet of 50 ships mounted a coordinated attack, and even though Reinhar was able to get beyond the Walls of Halruaa and occupy the cities of Mithel, Galdel, and Zalsuu, their magics proved to be more than a match for the invaders. Reinhar was finally defeated in a great battle at Sulaziir by the archmage Mycontil and his troop of wizards.

Reinhar's son, Reinhar II, took command of the army and set out on a two-month overland retreat. He arrived home with a thousand surviving fighting men and no shaman. Reinhar II proved to be as good a ruler in defeat as his father was in war. He consolidated his forces and pulled home almost all of his troops, as he knew that the defeat made them tempting prey for raiders and encroaching monsters. This action allowed for the safe development of his peoples.

By the time the ninth Reinhar was king in 802 DR, the Arkaiuns were fat and lazy. Reinhar IX, or Reinhar the Foolish as he is more commonly known, insisted on expanding his nation to gain more gold to finance his military campaigns. He ordered the mining of many rich lodes of silver and electrum in the Gnollwatch Mountains, but before his plans of expansion could begin, the miners encountered the drow of T'lindhet. The drow were outraged and began a steady series of raids and attacks on the Arkaiun strongholds. Whole villages were destroyed overnight, and no trace of the invaders could be found.

