// creator : C:\Users\Chelif\AppData\Local\NearInfinity\app\NearInfinity.jar (v2.4-20260111)
// game    : H:\SteamLibrary\steamapps\common\Baldur's Gate II Enhanced Edition
// dialog  : lang\en_US\dialog.tlk
// dialogF : (none)

@0      = ~<NO TEXT>~
@55     = ~Ha, I remained his captive at my own discretion. He has a gem of mine hidden about this place, and I was observing him to see if he might give some clue to its existence. Would you care to search for it with me?~
@56     = ~A gem? Why, certainly, let us join together and hunt its riches down.~
@57     = ~You mean to tell me you were mentally enslaved by choice? You can't possibly think I'm that stupid.~
@58     = ~I don't need your help to find a gem, but I do thank you for alerting me to its presence.~
@59     = ~Come, my hounds of rescue, let us find it before the wizard-fool returns.~
@60     = ~~
@61     = ~The rest, I fear, is in your hands and out of mine. So farewell, good luck, and godspeed, my friend. Mekrath will no doubt be returning shortly.~
@62     = ~Now, please, I must go meet with her and let her know that I am safe. I trust, my greedy ravens, that destiny shall bring us together in good time.~
@63     = ~You have my promise that she will reward you accordingly. Until then, my hounds of chaos, do take care.~
@64     = ~Aye, that you could, but let us put this petty slave-and-master game away. I have played it against far better opponents than you.~
@65     = ~You should be more careful when addressing your master...~
@66     = ~If there's an opponent better than me, I would like to know his name.~
@67     = ~All right, all right, the game is up, but I'll still have you join me.~
@68     = ~Fine, fine. I suppose it's better to have nothing to do with you at all. Begone, then.~
@69     = ~So! We meet in brighter times and better places, I see. Have you brought the gem?~ [HAERDA96]
@70     = ~No, I couldn't find it.~
@71     = ~I sold it and shan't get it back except at three times the price.~
@72     = ~What gem?~
@73     = ~Forget about the gem; I have come here to ask you to join me.~
@74     = ~Yeah, I brought it. How much is it worth to you?~
@75     = ~Here it is, my friend. Safely delivered from my keeping to yours.~
@76     = ~I was sure it was in that altar! It must be somewhere in his lair! Damn him, it must be there, it must! Please, get out and do not interrupt us here until you have it in your hands. Things are tense for us right now. More than you realize.~
@77     = ~Fool! You are lucky the price for your foolishness is only monetary... Some of us are not so lucky. Please, spend whatever you must. It will be more than covered in your reward. Now go, our time is growing ever shorter.~
@78     = ~The gem that Mekrath took from me and hid within his altar! Please, it is imperative that the jewel makes it safely into our hands. Go, and don't return until you hold it in your hands.~
@79     = ~That gem is my destiny, the destiny of my troupe, the destiny of this very stage on which we stand. Do not ask me to forget it, my ravens, for I shall not. Come back to me when you have it in your hands, and perhaps I'll be free to join you then.~
@80     = ~You have it? Good. I would give you my very soul in gratitude for its return, but the negotiations are between you and Miss Raelis. I suggest you speak with her.~
@81     = ~No, no, I'll not touch it. It is better that you deliver it to Miss Raelis as she is better suited to its nature.~
@82     = ~~
@83     = ~She grants the "rescue Haer'Dalis" quest.~
@84     = ~And the errant actor doth return! <CHARNAME>, I thank you, for you have brought joy to this dark house. Haer'Dalis, have you the gem?~ [RAELIS15]
@85     = ~We bring it with us, Miss Raelis, that we might have all the more reason to celebrate.~
@86     = ~Lord Ketlaar Argrim~
@87     = ~Not yet, Miss Raelis. It appears they still need more convincing.~
@88     = ~Foolish gtrank small-fist! Why feltthgrr help this place? You paid too? No, stronger get rid of guards with much gold. You just grrth stupid then! You die!~
@89     = ~You think me stupid?! I tell you nothing of Stronger than us! Should have leaved with other grrth guards paid to go by Stronger! Now you die here and bones will feed!~
@90     = ~It would be an honor.~
@91     = ~I'm afraid he and I are not used to fighting at each other's side. It would be best if, for the time being at least, he fought under your command.~
@92     = ~You threaten, but we fight anyway! I tell nothing of Stronger! Should have taken Stronger's gold like all other small-head guards! Now you die!~
@93     = ~Haer'Dalis, tell them the truth of what we are about while I prepare the summoning of the conduit.~
@94     = ~I am justice, and I don't care whom you serve—you will die for the innocents you have slain!~
@95     = ~You serve Stronger? Who is that? Who directs your actions? Speak! I demand it!~
@96     = ~Haer'Dalis, unsheathe your blades and put yourself at <CHARNAME>'s command.~
@97     = ~As you wish. Come, friends, let us begin.~
@98     = ~Who would dare give orders to a creature like you? Who would hope to survive such a thing?~
@99     = ~Come now, who could be stronger than you? Who would dare give orders to you?~
@100    = ~I promised 300 gold for the rescue of my finest bard. But without that gem, he be just a pretty song. Fetch the gem and I shall more than double your reward.~
@101    = ~Few of you primes would sense its presence, but Mekrath did, and so it was that I fell into his keeping. Luckily, he had not rid himself of it before your timely rescue.~
@102    = ~I am the person who's come here to kill you, no matter who you are or whom you serve!~
@103    = ~And who would be stronger than you? I would love to give them a taste of death as well!~
@104    = ~Ahh, I see. You are a coward. Who has you cowed? Who is better than you?~
@105    = ~Stop a second there, young 'un, 'cuz I heard what you gone and done for old Brun. It made me ashamed that I didn't try to help him myself. Good to know there's still someone willin' ta go the extra mile, even for a stranger. I want you to have this heirloom of mine because of what you did. Now my heirs didn't loom so big, but you ought to get more use out o' it than my mantle does. Folks like you make a jaded old man think there's still decent people out there.~
@106    = ~And who is it that has you so afraid? Are you so weak that you can be ordered about?~
@107    = ~I'm sure we can deal. You are an... intelligent creature. You know opportunity when it presents itself.~
@108    = ~I am quite good at cowing even the strongest creatures with words and guile. What good am I? What good are you?~
@109    = ~So you return, and our dark Haer'Dalis, his fetters shattered by your hands, has preceded you. Here is the gold I promised... Have you the gem he spoke of?~ [RAELIS17]
@110    = ~No, Miss Raelis, but I shall soon return with it.~
@111    = ~The gem is safe, but first I must know how much you'll give me for it.~
@112    = ~Aye, here it is, safely delivered.~
@113    = ~Do so, child, for much depends on it.~
@114    = ~Do not try to barter with me, child! I shall give you more than any other might, for I have more to give and greater need. Is that enough?~
@115    = ~Yes, Miss Raelis, I merely wished to confirm it. Here is the gem; let me show it to you.~
@116    = ~I'll barter with who I wish, Miss Raelis... Show me your greater need if you wish, but I am leaving.~
@117    = ~Excuse me while I fetch it, then, Miss Raelis.~
@118    = ~Ah, Mekrath's prize! It shall be our salvation yet. Here be 1,200 gold. Haer'Dalis, tell them what we are about while I prepare the summoning of the conduit.~
@119    = ~1,200 gold then, if you be wanting numbers! 'Tis all I have.~
@120    = ~1,200? Aye, you have bought my interest. Here is your petty costume jewel.~
@121    = ~And it's not enough... Goodbye, Miss Raelis.~
@122    = ~And here, then, is your petty penny, child. Haer'Dalis, tell them the truth of what we are about while I prepare for the summoning of the conduit.~
@123    = ~Haer'Dalis, all of you, stop them!~
@124    = ~Ah, Mekrath's prize! It shall be our salvation yet. Here be 700 gold. Haer'Dalis, tell them what we are about while I prepare for the summoning of the conduit.~
@125    = ~Ah, the fabled rescuers of Haer'Dalis... Do you carry with you the gem he told you of?~ [RAELIS18]
@126    = ~Very well, I shall go run your petty errand.~
@127    = ~No, Miss Raelis, but I shall soon return with it.~
@128    = ~The gem is safe, but first I must know how much you'll give me for it.~
@129    = ~Aye, here it is, safely delivered.~
@130    = ~Few of you primes would sense its presence, but Mekrath did, and so it was that I fell into his keeping. Luckily, he had not rid himself of it before your timely rescue.~
@131    = ~Primes and planar jewels and—and... What do you speak of, Haer'Dalis, for you have lost me?~
@132    = ~Why did you lie to me, Haer'Dalis?~
@133    = ~What is Raelis summoning?~
@134    = ~As our name denotes, we come from the city of Sigil, which lies upon another plane of the multiverse or, more appropriately, upon a hub or node where many of the planes collide... Are you with me?~
@135    = ~Positively entranced. Do continue.~
@136    = ~Not at all, but I don't expect that to change any time soon, so you might as well continue.~
@137    = ~If time is short, perhaps it would be best if you just cut to the quick of things and tell me how I can help.~
@138    = ~Well, all of this really goes back to a most unfortunate satirical play which we produced while in Sigil.~
@139    = ~Ah, the unfathomable connection between theater and interplanar travel... I'm sorry, but you have lost me entirely.~
@140    = ~What was so unfortunate about it?~
@141    = ~All this explanation is getting nowhere with me. Perhaps it would be better if you just told me how I can help.~
@142    = ~ 'Twas only the Lady of Pain herself, mistress of all Sigil, who through her unplumbed whimsy sent us careening through a portal to emerge where we are now, in this place you know as Amn.~
@143    = ~But the price upon your heads, is it not still there?~
@144    = ~I never realized acting was so dangerous.~
@145    = ~What a harrowing experience it must have been for all of you. Please, what can I do that might be helpful?~
@146    = ~Which brings us back to where this whole tale began, that is, to the planar stone you rescued from damned Mekrath's rubble.~
@147    = ~How? I don't understand.~
@148    = ~Of course, the planar stone and whatever it is that Raelis is summoning.~
@149    = ~I helped you then and shall help you again if I am able. Just tell me how.~
@150    = ~Miss Raelis is playing the stone as we speak so that our company might slip through our hunter's grasp and find another stage. The play must go on, you know.~
@151    = ~I'm just an actor on the run, nothing more. A single play has left me a wretched man, my ravens. A single, wrongheaded satire I didn't even write...~
@152    = ~What play, Haer'Dalis, and how?~
@153    = ~Okay, okay, I need to know what's going on here. Who are you, where are you from, and what's going on here? Start at the beginning.~
@154    = ~I wash my hands of this... Miss Raelis, I'm leaving.~
@155    = ~All right, you lied to me, but you had your reasons. What can I do to help?~
@156    = ~A young conduit.~
@157    = ~A what?~
@158    = ~<CHARNAME>, your presence here would be appreciated. Will you stay with us?~
@159    = ~I'm not interested in fighting extraplanar creatures... I'll be on my way, thank you.~
@160    = ~We shall hold off these creatures as best as we are able. Tell me when you find the right tunnel.~
@161    = ~We could have used your bravery... escort yourself out. We shall not begin until you are gone. Haer'Dalis, prepare your blades... for you are all we have.~
@162    = ~Yes, Miss Raelis.~
@163    = ~You are more than kind. Haer'Dalis's blades are something to behold. Would you have him join you for this fight?~
@164    = ~Yes, Miss Raelis.~
@165    = ~Drow Priestess~
@166    = ~Good day, Raelis. Will you permit me to stop this madness?~
@167    = ~Thank you.~
@168    = ~Who are you, and what business do you have with us?~
@169    = ~Oh, just an employee of an old acquaintance of yours in Sigil. Duke... what was his name? Darkwood? Yes, Duke Darkwood, that was it, wasn't it...? You really oughtn't have done that play, you know...~
@170    = ~We were set up. We performed it under the assumption that it was fiction. The playwright never told us otherwise.~
@171    = ~Ah yes, the infamous anonymous playwright. Now who was he, anyway? We never did learn.~
@172    = ~Neither did we... he wore a mask and met with us in the alleyways. It doesn't matter... Come, my bards. It appears 'tis time to make our reckoning. Haer'Dalis? ~
@173    = ~Drow Priestess~
@174    = ~Lea'liyl~
@175    = ~Lea'liyl~
@176    = ~The longbow is similar to the shortbow, except that the staff is about as tall as the archer is—usually six to six-and-a-half feet. It has better range and accuracy than the shortbow, but a slower Speed Factor. The smooth staff of this bow is warm to the touch, just a hint of the energy that surges through the wood.

STATISTICS:

THAC0: +3
Speed Factor: 5
Proficiency Type: Longbow
Type: Two-handed
Requires:
 6 Strength

Weight: 3~
@177    = ~You have known us for so short a time, and yet you have bought our freedom with blood. My child, my friend, it is a debt I can never repay...~ [RAELIS21]
@178    = ~Miss Raelis... I... I cannot come with you. Not this time.~ [HAERDA89]
@179    = ~No? No more plays, Haer'Dalis? No more theater?~
@180    = ~I wish I could, Raelis, but I am just another moth come too close to your flame. To love you is to smother that flame in my own death. I shall not do it.~
@181    = ~Don't be a fool, Haer'Dalis. There was no mystery writer of our play! I wrote "A Comedy of Terrors," it was mine! I brought all of this upon us!~
@182    = ~Best you keep moving. Them trolls will smell you even in here. The walls of the servants' quarters aren't that thick.~
@183    = ~Miss Nalia! What are you doing here? You never come to the servants' quarters, at least not in my memory.~
@184    = ~As you would have it, Miss Nalia. ~
@185    = ~Very well then, but remember what you have done here today! You have condemned this place, and me along with it!~
@186    = ~If that is what you wish. It will be safer than waiting here. I will wait outside by the palisade. ~ [NALIA95]
@187    = ~Thank you, Daleson, but now is not the time for secrecy. These people are not my family; these are my own hirelings. Keep no secrets here.~
@188    = ~Please, you needn't display such deference on my account. My aunty might prefer her servants cowed, but I do not.~
@189    = ~Oh, I did indeed meet him. The whelp was not much help at all, so I relieved him of his life.~
@190    = ~What do you mean? He's dead? How? What happened to him?~
@191    = ~I know, Miss Raelis. You'll have my heart forever, but I must do as I must. Perhaps <CHARNAME> will let me travel with <PRO_HIMHER> for a time, but the Prime beckons this sparrow regardless.~
@192    = ~He was there but... but he is no longer. It was most unfortunate what happened... very sad indeed.~
@193    = ~Cave~
@194    = ~Wolfwere Camp~
@195    = ~Cabin~
@196    = ~Wyvern Cultist~
@197    = ~Those that know us shall assist you any way they can... fill the place with music in memory of what has passed... Go and take yon lovely moth with you.~
@198    = ~Then go, my lovely Haer'Dalis... remember us fondly in your musings. And you, <CHARNAME>, go with my thanks and take yon lovely moth with you.~
@199    = ~Shortbows were the first bows to be developed, although they were not called such. This is more of a default term that refers to anything which is not a longbow. This shortbow is the rival of any of the larger bows. The magic inherent within it, whether from the wood or the spellcasting of a mage, makes this bow more accurate than a normal bow.

STATISTICS:

THAC0: +2
Speed Factor: 4
Proficiency Type: Shortbow
Type: Two-handed
Requires:
 3 Strength

Weight: 2~
@200    = ~My dear raven, valiant as always! You are poetry—you are song!~ [HAERDA97]
@201    = ~So go, the both of you: You in one direction, <CHARNAME>, and you, my Raelis, in the other. I think I will simply perch here in this cage and savor the tragedy awhile.~
@202    = ~So go, the both of you: You in one direction, <CHARNAME>, and you, my Raelis, in the other. I think I will simply perch here in this cage and savor the tragedy awhile.~
@203    = ~Fill the place with song, in memory of what has transpired here. Go, and let the three of us each part in love.~
@204    = ~Come, ye Doomguard, we must be off and swiftly. And you, <CHARNAME>, I can give you nothing but my gratitude. Perhaps we all shall meet again.~
@205    = ~So, my raven... the Prime is a playground for us both. Shall we journey together to marvel at its glories?~
@206    = ~I would be pleased to have you join me, Haer'Dalis.~
@207    = ~I think we should go our own ways for now. Perhaps we shall meet again later.~
@208    = ~I've no need of you, bard. Begone and good riddance.~
@209    = ~Wonderful! I have heard a little of your quest... you hold a power in your soul, my raven, that would fascinate any Doomguard.~
@210    = ~So be it. I will linger with the primes here for a short while yet... Should you change your mind soon, my raven, you can find me in the tavern above.~
@211    = ~The gem, we have it! Come, my birds, let us to the playhouse fly! The inn is in the Bridge District of this city, in the basement of the Five Flagons.~ [HAERDA81]
@212    = ~No, we must not leave until that gem is ours. So much depends on it, my wandering hounds.~
@213    = ~Fists~
@214    = ~Chain Mail~
@215    = ~Medium Shield~
@216    = ~Chain Armor of Darkness~
@217    = ~See, there lies the inn I spoke of. Miss Raelis's playhouse lies in its cellar. But until we carry Mekrath's jewel, there be little sense in entering.~
@218    = ~Ah, the playhouse! It is in the basement of this inn—come, let us enter. Miss Raelis will be pleased to see the gifts we bring.~ [HAERDA82]
@219    = ~I have no problem resorting to violence. I just thought I would give you a chance. ~
@220    = ~You must talk sometimes. You are obviously paid by someone, and had to reach some agreement with him or her.~
@221    = ~He no tell us. Stronger pay in meat and land! TorGal follow what good! You should have follow gold like other grrthed guards! Now you die!~
@222    = ~You presents are worthless, we have what need! Stronger pay land and meat, so TorGal tell Rocksmash follow. You should have left like other grrthed guards!~
@223    = ~Your words are fancy like Stronger, but he pay in meat and land! You not strong in pay like him! Should have left with gold like other small grrthed guards!~
@224    = ~I need no chance or words with grrthunks like you—we have Stronger to feed and land too! Why you not leaved with gold for other guards?! You stupid and die!~
@225    = ~Why did you lie to me, Haer'Dalis?~
@226    = ~Primes and planar jewels and—and... What do you speak of, Haer'Dalis, for you have lost me?~
@227    = ~What is Raelis summoning?~
@228    = ~As our name denotes, we come from the city of Sigil, which lies upon another plane of the multiverse or, more appropriately, upon a hub or node where many of the planes collide... Are you with me?~
@229    = ~Not at all, but I don't expect that to change any time soon, so you might as well continue.~
@230    = ~Positively entranced. Do continue.~
@231    = ~If time is short, perhaps it would be best if you just cut to the quick of things and tell me how I can help.~
@232    = ~Well, all of this really goes back to a most unfortunate satirical play which we produced while we were still in Sigil.~
@233    = ~Ah, the unfathomable connection between theater and interplanar travel... I'm sorry, but you have lost me entirely.~
@234    = ~What was so unfortunate about it?~
@235    = ~All this explanation is getting nowhere with me. Perhaps it would be better if you just told me how I can help.~
@236    = ~ 'Twas only the Lady of Pain herself, mistress of all Sigil, who through her unplumbed whimsy sent us careening through a portal to emerge where we are now, in this place you know as Amn.~
@237    = ~But the price upon your heads, is it not still there?~
@238    = ~Abela the Nymph~
@239    = ~I never realized acting was so dangerous.~
@240    = ~What a harrowing experience it must have been for all of you. Please, what can I do that might be helpful?~
@241    = ~Which brings us back to where this whole tale began, that is, to the planar stone you rescued from damned Mekrath's rubble.~
@242    = ~How? I don't understand.~
@243    = ~Of course, the planar stone and whatever it is that Raelis is summoning.~
@244    = ~I helped you then and shall help you again if I am able. Just tell me how.~
@245    = ~Miss Raelis is playing the stone as we speak so that our company might slip through our hunter's grasp and find another stage. The play must go on, you know.~
@246    = ~I'm not interested in fighting extraplanar creatures... I'll be on my way, thank you.~
@247    = ~We shall hold off these creatures as best as we are able. Tell me when you find the right tunnel.~
@248    = ~You be little more than cowards and plenty less than friends, my hounds. Run, then, with your tails between your legs... My blades are yours, Miss Raelis, as they have always been.~
@249    = ~When meat and land are pay, maybe we speak, but he stronger too, and worthy! We do and then we paid! You, kill you! Miss kill other guards, so enjoy kill you!~
@250    = ~My life not in danger! My life good! Life of Rocksmash good! You life end here! Should leave like other guards with gold, but you stupid g'thunk!~
@251    = ~If you don't want to deal, I will have to kill you! If you value your life, you will hear me out! ~
@252    = ~Ahh, but maybe I can offer you more than this "Stronger." How will you know if you don't hear me out?~
@253    = ~So be it! I'll not bother arguing with a skull as thick as yours!~
@254    = ~1,000 then, 1,000 gold! Please, just fetch the gem.~
@255    = ~Whenever you are ready, Miss Raelis.~
@256    = ~ 'Tis true, I lied to you and not once as you might think, but twice... The stone was not even mine, but Mekrath's, and I was sent to steal it. I'm just an actor on the run, nothing more. A single play has left me a wretched man, my ravens. A single, wrongheaded satire I didn't even write...~
@257    = ~What play, Haer'Dalis, and how?~
@258    = ~Okay, okay, I need to know what's going on here. Who are you, where are you from, and what's going on here? Start at the beginning.~
@259    = ~I wash my hands of this... Miss Raelis, I'm leaving.~
@260    = ~All right, you lied to me, but you had your reasons. What can I do to help?~
@261    = ~You may not enter the store at this time.~
@262    = ~A young conduit.~
@263    = ~A what?~
@264    = ~Haer'Dalis, you have returned! ...And who is this that you bring with you?~ [RAELIS16]
@265    = ~My saviors and my jailors both, it seems. Miss Raelis, may I present <CHARNAME>? And <CHARNAME>, Miss Raelis.~
@266    = ~Have you the gem, my brilliant hound?~
@267    = ~Plate Mail~
@268    = ~Xan~
@269    = ~Shar-Teel~
@270    = ~Alora~
@271    = ~Edwin~
@272    = ~Kamikaze Kobold~
@273    = ~Kamikaze Kobold~
@274    = ~It is here, my lady, resting safe with us... I, uh, promised these ravens of mine you would reward them.~
@275    = ~No, my lady, we do not. It seems my ravens need a little more convincing.~
@276    = ~Very well. I have upon me 700 coins. Will that be enough?~
@277    = ~Your purse is generous. Here, then, is the stone you covet.~
@278    = ~I can make do with that. Let me just go fetch the jewel from where I've hidden it. ~
@279    = ~Don't make me laugh. Goodbye, Miss Raelis, I think our business here is through.~
@280    = ~Don't make me laugh. Goodbye, Miss Raelis, I think our business here is through.~
@281    = ~You'll go nowhere, <CHARNAME>. Miss Raelis, call the others. These ravens must not leave here with the stone!~
@282    = ~Aye, for 1,000 I'll do your deed. Come, Haer'Dalis, let us find ourselves a gem.~
@283    = ~Neither for a thousand nor a hundred thousand shall I be your gnomish errand-beast. Come, Haer'Dalis, your friends are wearing on my patience.~
@284    = ~We will be back, Miss Raelis.~
@285    = ~Be you my captain, jailer, friend, or thief, I shall not have you speak so unto Miss Raelis! Make room for my blades amidst your innards, fool, for that is where they're heading!~
@286    = ~Zombie Wolf~
@287    = ~Good, for our time grows short. Here is the thousand gold. Haer'Dalis, tell your friends what we are about. I must prepare the jewel for its summoning.~
@288    = ~And here be 700 of the petty coins to which you focus your desire. Haer'Dalis, tell them what we are about while I go prepare the stone for summoning.~
@289    = ~Why do we tarry so? Each hour Miss Raelis is without that gem, we become more lowly sloths than noble hounds.~ [HAERDA83]
@290    = ~Ravens, ravens, drunk on freedom—do you not realize that there still be business to which we must attend? Quick, let us bring Mekrath's petty jewel back to my playhouse where it might be more appreciated.~ [HAERDA84]
@291    = ~I beg of you! We must deliver this gem to good Raelis—ere she and I are trapped in this foul drama forever! Let us make haste to the Five Flagons!~ [HAERDA85]
@292    = ~Your folly exceeds my patience and your tedium my intellect. Farewell and good riddance, mice. I shall deliver the jewel myself.~ [HAERDA86]
@293    = ~Yoshimo needs to see Renal Bloodscalp

Once we entered the Docks District, Yoshimo informed me that the leader of the local Shadow Thieves, Renal Bloodscalp, is eager to see him. Yoshimo hinted that, as a freelancer, this is the only way he can avoid eventual trouble. Renal should be in a building somewhere in the district.~
@294    = ~Cure Blindness/Deafness~
@295    = ~Shortbows were the first bows to be developed, although they were not called such. This is more of a default term that refers to anything which is not a longbow. This is a magical shortbow, giving the user an additional +1 to hit.

STATISTICS:

THAC0: +1
Speed Factor: 5
Proficiency Type: Shortbow
Type: Two-handed
Requires:
 3 Strength

Weight: 2~
@296    = ~Word Of Power~
@297    = ~Finale~
@298    = ~***Placeholder for end movie***~
@299    = ~Water flows down in a rush from some unknown source. There is an odd play of shadows deep within the pool. ~
@300    = ~Five eyes surround this hellish door, as if part of the very stone itself. The eyes follow you as you move, and a palpable aura of evil emanates from them. They guard this door, and if you wish to pass through, you must find some way of bypassing their guard.~
@301    = ~With the tools you currently have, there is no way to close the eyes or open the door. The answer must be found elsewhere.~
@302    = ~You take a Tear of Bhaal from your pack and place it in an eye. The eye closes and guards the door no longer.~
@303    = ~Abela~
@304    = ~Albert~
@305    = ~The final eye closes and the door opens. A rush of putrid air hits you and the darkness beyond the door fills you with fear despite yourself. The final confrontation draws nigh and the prize is your very soul.~
@306    = ~You have lost 2 Hit Points from your maximum Hit Point level.~
@307    = ~You have lost one Dexterity point.~
@308    = ~You have lost experience points.~
@309    = ~No! Not here, you fiends!~
@310    = ~Alvanhendar~
@311    = ~Curse you, <CHARNAME>! I shall not be defeated by you!~
@312    = ~What is happening? My magic... I... no...~
@313    = ~I do not want to die... please have mercy!~
@314    = ~Repulsion field~
@315    = ~Wild color changes~
@316    = ~Squirrels... Everywhere squirrels!~
@317    = ~I'm so itchy!~
@318    = ~It's so bright!~
@319    = ~Area effect~
@320    = ~Sex change~
@321    = ~Color change~
@322    = ~What was that? Over there!~
@323    = ~Stay back, fiends! By the gods I'll...~
@324    = ~No! NO! ~
@325    = ~Contingency—Spell Turning~
@326    = ~Contingency—Mislead~
@327    = ~arena~
@328    = ~Spell Trigger—Mislead~
@329    = ~Spell Trigger—Monster Summoning III~
@330    = ~You have faced your fear without resorting to the protection and power of evil. The Tear of Bhaal is yours.~
@331    = ~With the cloak given by the demon, you feel no fear and are able to take the Tear of Bhaal easily.~
@332    = ~Explosion?~
@333    = ~Spell Sequencer—Lightning Bolt~
@334    = ~Entangled~
@335    = ~Slowed~
@336    = ~No, I have made up my mind. Goodbye Nalia, I am sorry I could not help you.~
@337    = ~I have stated my wishes. Now get lost! ~
@338    = ~Very well. He said roughly thirty trolls and snake creatures, and that Lord de'Arnise was alive.~
@339    = ~Polymorphed~
@340    = ~Held~
@341    = ~He is alive? Wonderful! Lord de'Arnise is my father, and much preferable to Aunty. Quickly, we must rout these creatures while father is still there to save!~
@342    = ~Daleson said very little. I killed the dog.~
