@81433  = ~试试来拿啊。谅你也不敢。~
@81483  = ~带着那玩意一定很痛苦。~
@81484  = ~你有没有试过不戴上它来使用？~
@81485  = ~尽管有着种种缺陷，这么一件物品仍有很大的潜力。拿来吧。~
@81486  = ~不，而我也不准备尝试。因为我被这破窟窿困住得太久了。~ [OH81486]
@81487  = ~那让我来试试。~
@81488  = ~你打算在畏惧面前停下脚步？~
@81489  = ~很公平。让我们离开这儿然后我们可以略加练习。~
@81490  = ~我要冒险试试。把头盔给我而你可以得到那件披风。~
@81491  = ~那并不愉快。现在你是打算给我那件披风还是不给？~ [OH81491]
@81492  = ~我为你曾忍受的遭遇而感到难过。这是那件披风。~
@81493  = ~做不到。抱歉。~
@81494  = ~披风换头盔。直接交易。~
@81495  = ~那，就滚去下地狱吧。~ [OH81495]
@81496  = ~我不会替自己在生存所迫之下的那些行为道歉。~ [OH81496]
@81497  = ~那如果我拒绝交换披风呢？你会怎么做？~
@81498  = ~有的时候不得不做出一些让步。来，披风拿去。我拿着它没用。~
@81499  = ~反正我也没指望你会。~
@81500  = ~我必须做的事。~ [OH81500]
@81501  = ~那就拿去吧。~
@81502  = ~做个交易：你给我头盔然后我就把披风交给你。~
@81503  = ~尽全力，吸血鬼。~
@81504  = ~畏惧使人存活。~ [OH81504]
@81505  = ~现在你打算给我那件披风了吗？~ [OH81505]
@81506  = ~我会烧了它，在我让一只吸血鬼得以在白天肆无忌惮地闲逛之前。~
@81507  = ~当然。有什么可能会出岔子吗？~
@81508  = ~你会给我头盔吗？~
@81509  = ~你能从我这儿获得的唯一一样东西是一场再次的，并且更永久的，死亡。~
@81510  = ~披风给我！~ [OH81510]
@81511  = ~那就拿去。~
@81512  = ~先告诉我关于这个被你杀害的女孩的事。~
@81513  = ~会的，会的…在你告诉我你是怎么到的这儿又被困住之后。~
@81514  = ~然后给予一只吸血鬼白天肆无忌惮闲逛的能力？我还是继续再留着披风一阵子吧，真谢谢您了。~
@81515  = ~我会给你死亡，你这个干瘪的女巫！~
@81516  = ~早试过了。没用。~ [OH81516]
@81517  = ~满意了吗？把披风给我。~ [OH81517]
@81518  = ~很好。~
@81519  = ~说“请”。~
@81520  = ~等你死在我手下我就满意了。~
@81521  = ~如果你是想获取使用技巧，那好。~ [OH81521]
@81522  = ~不。~ [OH81522]
@81523  = ~那我看你并不是真心想要那件披风，对吗？~
@81524  = ~你真是无趣透顶。来，披风拿去。我拿着也没用。~
@81525  = ~那就再死一次吧！~
@81526  = ~谈话到此为止。我得走了。你打算给我那件披风还是不给？~ [OH81526]
@81527  = ~我宁可在把它交给你们这种存在之前烧掉。~
@81528  = ~拿去。~
@81529  = ~我想我会留着它。~
@81530  = ~它保护着穿戴者不被日光照射。~ [OH81530]
@81531  = ~你的意思是，保护吸血鬼们不被日光照射。~
@81532  = ~大多数披风都是。它们也十分便于用来遮风、挡雨和防雪。~
@81533  = ~对于吸血鬼来说它们没用。~ [OH81533]
@81534  = ~啊。我懂了。~
@81535  = ~你已经成为吸血鬼很久了，是吗？对于在日光下使用各种披风经验丰富？~
@81536  = ~我想着应该是你的问题，而不是我的。~
@81537  = ~我知道吸血鬼暴露在日光下会发生什么，<CHARNAME>。而我不会让这发生在自己身上。~ [OH81537]
@81538  = ~没得谈，<CHARNAME>。头盔是别人的。~ [OH81538]
@81539  = ~谁？~
@81540  = ~你是想要告诉我在盗贼之中也有荣耀？~
@81541  = ~之前头盔是别人的。现在是我的了。~
@81542  = ~我只要接了活，就要做完。~ [OH81542]
@81543  = ~谁雇你来偷头盔的？~
@81544  = ~即使这活儿让你被转化成了吸血鬼关在一座坟墓里长达老天才知道有多久？~
@81545  = ~那看来我只好杀了你然后头盔和披风就都是我的了。~
@81546  = ~混蛋，<CHARNAME>！我并不想做这种事！~ [OH81546]
@81547  = ~工作就得做。~ [OH81547]
@81548  = ~你为谁工作？~
@81549  = ~你还真是乐于工作。~
@81550  = ~而死者就得死—除非当它不再是。~
@81551  = ~乐于？不。不过我擅于做这种事。现在把披风给我。~ [OH81551]
@81552  = ~你为谁工作？~
@81553  = ~真是相当难得才会遇到某些人十分擅长他们的工作以至于被转化成了吸血鬼还困在一座坟墓里长达老天才知道有多久。~
@81554  = ~那不会发生的。~
@81555  = ~我们都时常亲身经历种种险阻。披风呢？~ [OH81555]
@81556  = ~给。它需要清洗一下不过应该可以替你遮挡阳光了。~
@81557  = ~你之前为谁工作？~
@81558  = ~你这就要经历你的最终险阻了，吸血鬼。~
@81559  = ~我们走着瞧，<PRO_RACE>。~ [OH81559]
@81560  = ~我不知道他的真名。他用的代号是“L.”。~ [OH81560]
@81561  = ~你不知道他的身份，但仍听从他的命令？~
@81562  = ~等等，你刚才说你为L工作？那个L？~
@81563  = ~你让某个你不知道的人操纵着你。怪不得你落得这么个下场。~
@81564  = ~你认识他？~ [OH81564]
@81565  = ~在我的业务中很多都非常重视匿名。L的情报通常都非常准确，而他总是全款结清，准时付款。那么现在，劳驾：把披风交出来。~ [OH81565]
@81566  = ~很好，拿去。~
@81567  = ~看来这一次L的情报有所欠缺。~
@81568  = ~我想我会继续保留这件披风一段时间。~
@81569  = ~我还没说完。~ [OH81569]
@81570  = ~或许你应该。~
@81571  = ~你能屈能伸而且诡计多端。我会给你的。并且也会给你这件披风，不过你欠我一个人情。~
@81572  = ~你就是错在这儿。~
@81573  = ~我不接受假设。现在，就看你是否有意交出披风？~ [OH81573]
@81574  = ~它是你的了。拿去。~
@81575  = ~你会为此付出代价，赫克赛特。不管怎样。~
@81576  = ~你想要披风就从我尸体上找吧。~
@81577  = ~如果这是你希望的方式。~ [OH81577]
@81578  = ~过去我为L完成了不计其数的工作。从没发生过问题—没发生过严重问题—直到这次。~ [OH81578]
@81579  = ~我希望你会在下次见到他的时候就这些问题和他交涉。披风给你。~
@81580  = ~这份工作发生的问题让你被杀了。即使，不可否认的，然后又被拉回人世。被转化成吸血鬼并且囚禁多年可不是件小事。~
@81581  = ~看看好的一面，赫克赛特—你的麻烦几乎快要彻底解决了。~
@81582  = ~相信我，我会为这件事好好找L的。现在，披风呢？~ [OH81582]
@81583  = ~这儿，拿着。~
@81584  = ~我不能让你拿到这件披风，赫克赛特。对不起。~
@81585  = ~它就在我这儿。~
@81586  = ~你并不歉疚。尚未。不过你很快就会了。~ [OH81586]
@81587  = ~诅咒你，<CHARNAME>！我们本可以共同完成伟大的事业。~ [OH81587]
@81588  = ~古老石墓的顶端以一种非同一般的方式滑开了。在那之中你只能看见黑暗，从中你只能感到一道寒风吹拂而来。~
@81589  = ~（爬进墓穴。）~
@81590  = ~（不管它。）~
@81591  = ~伯里奇~
@81592  = ~卡宾娜~
@81593  = ~幽灵武僧~
@81594  = ~幽灵武僧~
@81595  = ~幽灵武僧~
@81596  = ~凯诺~
@81597  = ~南功极~
@81598  = ~拉比安~
@81599  = ~比尔奇斯~
@81600  = ~艾米娜~
@81601  = ~迪亚·阿尔-哈非兹~
@81602  = ~奎斯·拉伊德~
@81603  = ~艾克巴·阿尔-丁~
@81604  = ~石面~
@81605  = ~拉菲尔~
@81606  = ~蜘蛛~
@81607  = ~引诱者巫妖~
@81608  = ~科克朗~
@81609  = ~吸血~
@81610  = ~站住，旅行者。这片森林并不安全，没人提醒过你这周围有多危险吗？~
@81611  = ~吸血

为了生存，吸血鬼需要养分。这个能力会吸取目标1～4点体质，同时将其击晕5轮。

豁免检定：对死亡豁免~
@81612  = ~暗夜之子~
@81613  = ~暗夜之子

当吸血鬼使用这个能力，1d4的黑暗生物会从阴影中出现。随着吸血鬼等级提升，召唤生物也会变强。

等级1-10：召唤1d4数量的老鼠
等级11-20：召唤1d4数量的狼
等级21-30：召唤1d4数量的阴影~
@81614  = ~我没听过关于这片森林的多少传言。陌生人，你是谁？前方有怎样的危险？~
@81615  = ~支配~
@81616  = ~（未使用）Hexxats的占据能力描述~
@81617  = ~我猜猜——让他们惶恐不安的就是你吗？~
@81618  = ~快速治疗~
@81619  = ~如果我们正处于危险之中，那对我而言可是求之不得。~
@81620  = ~我是盖尔德，前方潜伏着太多危险了——狂暴的熊，被遗忘的古老狩猎陷阱，还有人见到过饥饿的狼群在这里游荡。对于像你这样的旅行者而言，这片森林充满了敌意，呃……朋友，你叫什么名字？~
@81621  = ~（未使用）Hexxats快速治疗能力的描述。~
@81622  = ~我是<CHARNAME>. 告诉我，盖尔德，你到充满敌意的森林来干什么？~
@81623  = ~我的名字稍后再说。首先，告诉我你是怎么轻易地到森林这边来提醒我所谓的危险。~
@81624  = ~友善的朋友，我看上去像是会向你发起挑战的人吗？我何德何能呢，你全副武装，而我——盖尔德，不过是个出售有用东西的小贩罢了。~
@81625  = ~有用的东西？~
@81626  = ~你未免太谦逊了。~
@81627  = ~你看起来确实精明干练，但即便是像你这样的冒险者也不能无视这些危险：被遗忘的古老狩猎陷阱，狂暴的熊，甚至还有饥饿的狼群。这片森林非常危险，呃……朋友，你叫什么名字来着？我之前可能有些无礼，忘了做自我介绍——我叫盖尔德。~
@81628  = ~我一直靠贩售自己得到的有用信息和饰品维持生计。也许会有人看不上我这种人，但我至少能丰衣足食，没准还能比别人过得更滋润。~
@81629  = ~那么现在有什么货？~
@81630  = ~我有预感，你打算卖给我的是一些无形的东西。~
@81631  = ~我知道是怎么回事了。滚吧，商人！你别想从我这儿拿到一枚钱币！~
@81632  = ~啊，你好，<CHARNAME>。我向你保证，我出现在这里纯粹是巧合。我只是在前往克瑞穆尔的路上穿过了这片森林，我认为你应该会对我出售的商品感兴趣。~
@81633  = ~你出售的商品是什么？~
@81634  = ~我知道是怎么回事了。滚吧，商人！你别想从我这儿拿走一枚钱币！~
@81635  = ~冒着极大的风险，我在这片森林中探索出了一条可以毫发无伤通过的安全路线。请原谅我的无礼，但我需要为这条路线收费，它的售价仅仅是5000枚金币。~
@81636  = ~价格太高了，但是安全能明码标价吗？钱在这里，盖尔德。~
@81637  = ~我无法承受这个价格。~
@81638  = ~5000金币？你是疯还是傻了，抑或两者皆有？~
@81639  = ~滚吧，商人！你别想从我这儿拿到一枚钱币！~
@81640  = ~淡定，我的朋友！我只是在前往克瑞穆尔的路上穿过了这片森林，我想你应该会对我出售的东西感兴趣。~
@81641  = ~无形的信息也能派上很大用场，朋友。冒着极大的风险，我在这片森林中探索出了一条可以毫发无伤通过的安全路线。请原谅我的无礼，但我需要为这条路线收费，总价仅仅是5000枚金币。~
@81642  = ~我明白了。好吧，在前方的道路上请务必留意我的警告——那里也许比我刚才描述的更糟。~
@81643  = ~我可能……开价过高了。我觉得，如果我把价格降低一些，我们双方都能受益良多。那么2500金币如何？~
@81644  = ~幅度可观的折扣，感觉上是这样。好吧，这笔钱拿去。~
@81645  = ~啊，好吧，因为我不想在几公里之外听到你痛苦的惨叫，我就把价格降低一些，让我们双方都能受益良多。4500枚金币是我开出的最低价格。~
@81646  = ~这价格仍然高得吓人，但是好吧，成交了。~
@81647  = ~我恐怕无法接受这个价格。~
@81648  = ~明智的选择，明智之至。朋友，你今天做出了再正确不过的选择。我身后的这条路原本是通往左边，但我在灌木丛中清理出了一条通向右边的路线。睁大双眼，你不会错过的。不要从我描述的这条路上走偏，我无法在路线之外保证你的安全。~
@81649  = ~很好，再见盖尔德。~
@81650  = ~也就是说，我付了整整5000金币，就是为了一句“向前走，向右转”？~
@81651  = ~我认为我被骗了。不如你把我的钱还给我，这样的话我就不必把你的脑袋像木头一样砍成两半了。~
@81652  = ~哦，拜托，当然人人都“能”穿越森林……但是只有精湛的技艺才能指引人们“如何”穿越森林。再见了，我的朋友。也许有朝一日我们还会再见面的。~
@81653  = ~抱歉，但显然我不会在出售信息的时候提供退款。在局面失控之前，我先走一步了。~
@81654  = ~我是怎么跟你说的来着，朋友？危险的森林，真是太危险了。~
@81655  = ~如果人们不给你钱，你就用那群脏狗袭击他们？这就是你的鬼把戏吗？~
@81656  = ~滚开，你的狗吓不倒我。~
@81657  = ~你想要的到底是什么？~
@81658  = ~糊口而已。~
@81659  = ~好哇。它们可不是为了把你吓死才出现在这里的，它们的利齿就是为此而生的。~
@81660  = ~这不是显而易见的吗？~
@81661  = ~这尖刺陷阱扯坏了我的斗篷，所以那条腰带应该归我。我在这儿遭受了物质损失！~ [OH81661]
@81662  = ~冷静点，道尔顿。我们来这儿是为了给贾登找这条腰带。我们都说好了这腰带归她，而我们分掉其他的财宝。~ [OH81662]
@81663  = ~你那没用的脑子肯定还记得我们协议的前提是什么：能在这该死的墓穴里找到财宝！~ [OH81663]
@81664  = ~这里确实就有很多财宝，如果你没惊醒那只石化蜥蜴的话，我们本来是可以拿到的。~ [OH81664]
@81665  = ~哦，真抱歉，谁能想到那些栩栩如生的石像必定是被变成石头的活人呢？以摩拉丁铁锤的名义，你到底有多蠢啊，小姑娘？~ [OH81665]
@81666  = ~这斗篷可是家传珍宝！~ [OH81666]
@81667  = ~空棺材~
@81668  = ~你们这帮愚昧的懦夫！这条腰带是老子应得的，因为是老子敲断了那具干尸的脖子！战利品属于胜者，而老子就是胜者！~ [OH81668]
@81669  = ~而你为了干这个敲断了墓穴里一半的支撑柱，让几吨石头砸到了那些魔法武器上。这场灾难都是你的错导致的！~ [OH81669]
@81670  = ~这个棺材似乎与容纳它的储藏宝袋是通过魔法绑定在一起的，它无法被从中移除。它的实际尺寸可以轻松装下一个中等身材的人。~
@81671  = ~让整个房间弥漫毒气的人也配抱怨别人。霍迦差点被你熏瞎，还几乎咳出了整个肺！~ [OH81671]
@81672  = ~你们好。我打扰到你们了吗？~
@81673  = ~赫克塞特的包~
@81674  = ~听起来你们需要留点时间给自己。那么我先走了。~
@81675  = ~那条腰带听起来很有意思。~
@81676  = ~别动，陌生人。你来这儿干嘛？你不会和那群该死的武僧是一伙的吧？~ [OH81676]
@81677  = ~这只定制储藏宝袋属于一位强大的吸血鬼，军阀德拉戈米尔。在漫长的军事生涯中，德拉戈米尔时长身先士卒，冲锋陷阵，即便是有吸血鬼的能力护身，他还是多次战死沙场。在转换为气体形态之后，他曾需要经历长途跋涉才能回到位于自己营地中的棺材里复活。借助于这份魔法技艺，德拉戈米尔把自己的棺材置入了一只储藏宝袋，并且施以魔法绑定，以防棺材遭到移除。这样，当他再次战死之时，他只需通过很短的距离就能回到袋中——而宝袋被托付给身侧最信任的骑士保管。

但这份信任却最终导致他遭到背叛，并且被埋葬数个世纪之久。

这只宝袋的外观不过是2x4呎的普通布袋。打开之后能够通往一个无维度的空间，内部空间远远大于外观的尺寸。无论放多少东西进去，它的重量始终保持一致。尽管宝袋内部没有空气，但吸血鬼也不需要呼吸，因此能够舒适地休息。

数据资料：

重量：5~
@81678  = ~不是。我是<CHARNAME>。你是谁呢？~
@81679  = ~我只是路过罢了。你们谈的那个腰带是怎么回事？~
@81680  = ~是的，我身后还有五十多人正在跃跃欲试准备找茬呢。~
@81681  = ~我是克莱斯·铁眼，流浪剑客的首领。也许你听说过我们？~ [OH81681]
@81682  = ~未曾听说~
@81683  = ~德拉戈米尔的披风~
@81684  = ~当然听过，著名的铁眼和她的边缘人伙伴们。我听过你们在剑湾一带各种酒馆的事迹。~
@81685  = ~不。这个腰带。有什么特别之处吗？~
@81686  = ~我们只是，呃，在讨论最近一次冒险的战利品分配方案，油水不多，呃，没有能让你感兴趣的东西。~ [OH81686]
@81687  = ~这件披风是由死灵法师祖蓝·法斯在为军阀德拉戈米尔服务时，用强大的死灵魔法制作和附魔的。德拉戈米尔变成吸血鬼后，不愿放弃原来的生活方式，命令祖蓝制造出一件能够让他在阳关下行动而不被摧毁的衣服。虽然祖蓝成功了，但是披风严重限制德拉戈米尔开始享受的许多吸血鬼能力。

由于这个缺陷，她被德拉戈米尔吸干血液，任其死去。

数据资料：

装备能力：
-允许吸血鬼白天在户外和阳光照射下活动，但有以下惩罚：
	力量：-6
	敏捷：-4
	智力：-2
	智慧：-2
	魅力：-4

只有吸血鬼可以装备。

重量：3~
@81688  = ~油水不多是胡扯，那条腰带是我的！~ [OH81688]
@81689  = ~不行！我们都说好了这个归我！退后，你这无礼的矮人！~ [OH81689]
@81690  = ~如你所见到的，我们，嗯，眼下陷入了僵局。~ [OH81690]
@81691  = ~也许我能帮到你们。我过去曾以提供忠告而著称。~
@81692  = ~德拉戈米尔的头盔~
@81693  = ~我有一个非常好的主意：把这条腰带给我。~
@81694  = ~我觉得自己不该搅进这个局面。再见。~
@81695  = ~德拉戈米尔的头盔由他的随从制成，当随从们意识到他对权利和毁灭的渴望最终会导致他们的灭亡之时。怀着对他的恐惧与崇敬，他们决定困住德拉戈米尔并将其埋葬于此，而不是消灭他。为了达成目标，他们制造了这顶头盔。当头盔戴在不死生物头上时，强大的魔法会震慑穿戴者，使其无法移动。赫克塞特由于未意识到这一点，在试图偷走头盔的时候失误唤醒了德拉戈米尔。

德拉戈米尔的头盔与不死魔法拥有强烈的联系，具备多项连打造者都未能预料的有趣属性。

数据资料：

重量：3~
@81696  = ~冲啊！带上武器，我们能冲出这里！~ [OH81696]
@81697  = ~冲吧，我们已经吸引太多注意力了——等等，真的吗？你不是来……对付我们的？~ [OH81697]
@81698  = ~不，真的。我效忠于莎尔，并投身于暗夜之中的杀戮事业。~
@81699  = ~只是个玩笑罢了，相信我。我是<CHARNAME>，您是哪位？~
@81700  = ~哦，呃……唔……好吧。无论如何，我们正在——~ [OH81700]
@81701  = ~把腰带给我交出来，姑娘！在我动手把它从你那脆弱的身体上夺过来之前主动交给我！~ [OH81701]
@81702  = ~克莱斯，别让他靠近我！这腰带不属于他，我们已经说好了！~ [OH81702]
@81703  = ~真的吗？我知道我们最近掀起了一点风浪，但是没想到我们已经……我们……哦，我明白了，你是在嘲笑我们，你嘴可真甜。~ [OH81703]
@81704  = ~你在这里干什么？~
@81705  = ~真的？你愿意公正地解决我们的争端吗？~ [OH81705]
@81706  = ~当然。~
@81707  = ~我不懂什么叫公正，我只是偏好于命运的大起大落罢了。~
@81708  = ~事实上，我觉得这腰带最好归我。~
@81709  = ~恐怕我得把难题留给你们自己解决了。再见。~
@81710  = ~你不是第一个死在流浪剑客手中的！~ [OH81710]
@81711  = ~我想不妨尝试一下，各位请说出自己得到这条腰带的理由。贾登，就从你开始，道尔顿和奥顿，接下来是你俩，霍迦，你排在奥顿后面。~ [OH81711]
@81712  = ~虽然这么做也不会增进各位的信任，但我觉得还是尝试下比较好。各位请说出自己得到这条腰带的理由。贾登，就从你开始，道尔顿和奥顿，接下来是你俩，霍迦排在最后说。~ [OH81712]
@81713  = ~哼！~ [OH81713]
@81714  = ~这条腰带曾在我的家族中代代相传。它的魔力与我们的血统相连！只有我能够以其他人无法做到的方式利用它。此外，我们已经达成协议了，我只要这条腰带，他们分享这座墓穴中的其他财宝。~ [OH81714]
@81715  = ~得了，别胡扯了。那腰带和你的联系与它和一块石头的联系没有一丁点区别。你爷爷持有过它几年并不意味着它就成为传家宝了。我理应得到这条腰带，因为我的附魔斗篷在逃离那群恐爪怪的时候扯破失效了。我应该得到赔偿！不对，是我要求得到赔偿！~ [OH81715]
@81716  = ~!我不知道到那个丫头打算跟你讲什么废话，但前提是我们能在这见鬼的墓穴里找到其他财宝的情况下，这份协议才算有效！我当然比那个癫狂的小妖精更配得到这条腰带，我的法术天赋比她强多了！~ [OH81716]
@81717  = ~闭嘴，小矮子。我才理应得到这条腰带。是我给了蜥蜴人首领致命一击，是我赶在你们掉进去之前踢翻了那口翻腾着污秽毒素的大锅！你们都是托我的福才能活到现在，但是你们总是忘了这一点！~ [OH81717]
@81718  = ~现在你得到了——四个明确的观点。你的想法呢？~ [OH81718]
@81719  = ~我认为贾登应该得到这条腰带。~
@81720  = ~道尔顿应该得到这条腰带。~
@81721  = ~显然奥顿应该得到这条腰带。~
@81722  = ~根据我的评估，霍迦应该得到这条腰带。~
@81723  = ~我决定了，我应该得到这条腰带。~
@81724  = ~等等，这条腰带到底有什么功效？~
@81725  = ~它有什么功能？它没有什么功能？我想知道这些。~ [OH81725]
@81726  = ~没用的蠢货！这条腰带被附魔了，它能够从敌对法术下保护穿戴者。它不能让你刀枪不入，但是总比我用来防止裤子脱落的那条牛尾巴强多了！~ [OH81726]
@81727  = ~好吧，这就说得通了。你怎么觉得，调解人？~ [OH81727]
@81728  = ~我认为贾登应该得到这条腰带。~
@81729  = ~好吧，我尊重你的决定。贾登，这条腰带归你了。~ [OH81729]
@81730  = ~耶！耶！啊哈哈哈哈哈，我赢了！接受现实吧，你这长着球根鼻子的牢骚鬼！~ [OH81730]
@81731  = ~为什么，你这没礼貌的小……老子要为这句侮辱杀了你！老子要杀了你们！~ [OH81731]
@81732  = ~诸神在上，逃吧！~ [OH81732]
@81733  = ~快离开这儿！~ [OH81733]
@81734  = ~好吧，我尊重你的决定。这条腰带就归道尔顿了。~ [OH81734]
@81735  = ~我怎么跟你说的来着？正义常胜不败！太感谢你了，陌生人。生命总会保持平衡：在失去一些东西之后，你就能获得其他东西！~ [OH81735]
@81736  = ~闭嘴！闭嘴！堵上你脑袋上的洞，小东西！你死定了！死定了！~ [OH81736]
@81737  = ~现在你的职责已经完成了，快离开吧！~ [OH81737]
@81738  = ~他是认真的！趁他还没把你撕成两半，大家快离开这里！~ [OH81738]
@81739  = ~好吧，我尊重你的决定。这条腰带归奥顿了。~ [OH81739]
@81740  = ~嘿嘿，明智的选择。我能够让这条腰带发挥出你们想象不到的作用！你这样的年轻人是不知道该如何使用这样的装备的。~ [OH81740]
@81741  = ~不！这条腰带属于我的家族！我的血统！把它给我，不然的话我就要从你的尸体上取……你……的尸……啊啊啊！~ [OH81741]
@81742  = ~她是个什么东西？快离开这儿！快跑！~ [OH81742]
@81743  = ~呃，我忘了拿在营地里烧烤的东西了！~ [OH81743]
@81744  = ~好吧，我尊重你的决定。这条腰带就归霍迦了。~ [OH81744]
@81745  = ~哈哈！所有的东西都归霍迦！~ [OH81745]
@81746  = ~什么？什么！腰带归他，而我一无所获，就只剩一件扯破的斗篷？我无法接受，这简直就是背后捅刀子！如果我得不到补偿，我就要从你身上扒下一层皮来！~ [OH81746]
@81747  = ~你来收拾局面。我要去享用我的新腰带了！~ [OH81747]
@81748  = ~霍迦？！退后——好吧，新计划！大家快跑！~ [OH81748]
@81749  = ~好吧，出发——我们回营地解决这件事。~ [OH81749]
@81750  = ~我在森林里遇到了一个善于言辞的小贩，自称名叫盖尔德。他打算向我出售安全通过森林的方法，但我没搭理他。~
@81751  = ~我在森林里遇到了一个善于言辞的小贩，自称名叫盖尔德。他打算向我出售安全通过森林的方法。我把钱给了他，他告诉我在前面的岔路口要向右走。我不禁怀疑起这条信息到底值不值这么多。~
@81752  = ~盖尔德策划了一场骗局。他在那条路上带着一群狼埋伏了我。谁能想到在森林里搭讪我的陌生人会带来麻烦呢？~
@81753  = ~我遇到了一群名为流浪剑客的冒险者。他们正在为一条魔法腰带争执不休，听起来他们好像刚洗劫了什么墓穴。我没参与他们的争论。~
@81754  = ~我遇到了一群名为流浪剑客的冒险者。他们正在为一条魔法腰带争执不休，我介入其中并协助他们决定了谁该得到这条腰带。不幸的是，我的决定导致其中一人被激怒并袭击了我。~
@81755  = ~我遇到了一群名为流浪剑客的冒险者。他们正在为一条魔法腰带争执不休，我介入其中并决定独吞这条腰带。他们拒绝接受，于是我不得不解决了他们。~
